Hash: 72CDBCE8, Key: OptionsButton, Value: Party Options
Hash: BF74CCFF, Key: DialogErrorText, Value: Select the invite level of your party:
Hash: FC29477A, Key: DialogConfirmationRequired, Value: Confirmation Required
Hash: 4F2E4BF0, Key: DialogOpenToFriends, Value: Open to Friends
Hash: 642196A2, Key: DialogOpen, Value: Open
Hash: 1AA9A161, Key: LeaderIconTooltip, Value: This player is the Party Leader.
Hash: B8D0BC8A, Key: VoiceChatIconTooltip, Value: Voice Chat Indicator
Hash: 0347B66D, Key: Leader, Value: Party Leader
Hash: 9D925E9D, Key: LeaveParty, Value: Leave Party
Hash: CF4DB899, Key: ManageParty, Value: Call to Arms
Hash: A26C4C22, Key: InviteToParty, Value: Invite
Hash: A682C2B4, Key: SlotOpen, Value: Open to Real ID Friends
Hash: E85F2C42, Key: SlotOpenToFriends, Value: Open to Real ID Friends
Hash: B9B79436, Key: SlotOpenToPublic, Value: to public
Hash: FBE5E89C, Key: SlotOpenToRecentlyPlayed, Value: to recently played characters
Hash: 07DBBC18, Key: Level, Value: lv
Hash: 3A37A781, Key: InviteDialogTitle, Value: Invite
Hash: 97B856A4, Key: InviteDialogContext, Value: invites you to a party - {s1}
Hash: 7095D4A8, Key: InviteDialogTimeRemaining, Value: Time Remaining
Hash: 74632A4B, Key: InviteDialogAcceptButton, Value: Accept
Hash: 6ED30F2F, Key: InviteDialogDeclineButton, Value: Decline
Hash: 71C7590B, Key: JoinRequestDialogTitle, Value: Join Request
Hash: F1FA92AE, Key: JoinRequestDialogContext, Value: has requested to join your party. - {s1}
Hash: 246D7F14, Key: JoinRequestDialogInviteButton, Value: Invite
Hash: 40F6FD89, Key: JoinRequestDialogIgnoreButton, Value: Ignore
Hash: D3FDFD2A, Key: InviteAcceptConfirmationTitle, Value: There are pending invites.
Hash: A7375EAD, Key: InviteAcceptConfirmationMessage, Value: Accepting this invite will remove all other invites. Do you really want to accept this invite?
Hash: CDF6E207, Key: SlotPending, Value: Invite Sent...
Hash: 980A1519, Key: ChannelLabel, Value: Party
Hash: C6620F78, Key: LeaveConfirmationTitle, Value: Leave Party?
Hash: C2E93C7B, Key: LeaveConfirmationMessage, Value: Are you sure you would like to leave the party?
Hash: A8A0A1B3, Key: JoinLeaveWarning, Value: Joining this party will cause you to leave your current party. Do you accept?
Hash: 23091893, Key: LeaveWithSentInvitesConfirmationMessage, Value: Leaving the party now will cancel all the other party invites you've sent. Do you want to leave the party?
Hash: 270FDCC8, Key: StayInParty, Value: Stay in Party
Hash: 57B289F1, Key: JoinLeaveWithInvitesWarning, Value: Joining this party will cause you to leave your current party and cancel all outstanding party invites you've sent. Do you accept?
Hash: 685C89C4, Key: JoinWithInvitesWarning, Value: Joining this party will cancel all outstanding party invites you've sent. Accept?
Hash: 4B331F54, Key: AcceptPartyInviteWithInvitesPendingPrompt, Value: Accepting the party invite will cancel all outstanding party invites you've sent.
Hash: D5225353, Key: ButtonSocialRequests, Value: Party
Hash: 20DCA220, Key: PartyPanel, Value: Party
Hash: F6F96CAF, Key: AcceptPartyInvite, Value: Accept party invite?
Hash: EB692C15, Key: CancelInvite, Value: Cancel Invite
Hash: B56BE31A, Key: ClickToProfile, Value: {icon:lmb} to view profile. {icon:rmb} for player options.
Hash: A5939BDF, Key: ClickToBanner, Value: {icon:lmb} to customize banner.
Hash: 9550C5F4, Key: KickedFromGameBecausePartyFull, Value: {s1} tried to join the game, but the game is full.
Hash: E4FF1CF3, Key: ClickToJoinGame, Value: {icon:lmb} to join game.
Hash: 570D0FD4, Key: InvitePending, Value: {C:FFC47D30}Invite Pending{/c:c47d30}
Hash: AE818EA9, Key: ClickToSwitchHero, Value: {icon:lmb} to switch character. {icon:rmb} for player options.
Hash: 8F5A7880, Key: PartyInviteTimer, Value: {s1} - {s2}
Hash: F3518330, Key: PendingInviteRequestsLabel, Value: {s1} Pending invite requests
Hash: 87ADFF6C, Key: SelectingHero, Value: Selecting Character
