Hash: 0001AA57, Key: Ago, Value: Ago
Hash: 06C48722, Key: AskToJoinParty, Value: Request Invite
Hash: 2223BB65, Key: DialogAcceptRequestButtonLabel, Value: Accept
Hash: 056445BE, Key: DialogAddCharacterFriend, Value: Add a Character Friend
Hash: EB71C13E, Key: DialogAddFacebookFriends, Value: Add Facebook Friends
Hash: 62235CCF, Key: DialogAddressInputHelpLabel, Value: ex. Tyrael@Blizzard.com or Tyrael#1234
Hash: 5AB30869, Key: DialogDeclineRequestButtonLabel, Value: Decline
Hash: 22D69324, Key: DialogOptionalMessageHelpLabel, Value: Enter custom message
Hash: A18E309B, Key: DialogOptionalMessageLabel, Value: Send an optional message
Hash: 78476DE9, Key: DialogPendingFriendRequestsLabel, Value: Pending Friend Requests
Hash: A6520181, Key: DialogRealIdLabel, Value: Enter email address or BattleTag
Hash: 5D2FC8BF, Key: DialogSendRequestButtonLabel, Value: Send Request
Hash: E8AB4EB2, Key: DialogTitle, Value: Add Friend
Hash: 65525D53, Key: DifficultyLabel, Value: Difficulty:
Hash: BD459D0B, Key: Friends, Value: Friends ({s1})
Hash: A26C4C22, Key: InviteToParty, Value: Invite
Hash: 30AD8E44, Key: Joinable, Value: Joinable
Hash: 476E55E0, Key: JoinParty, Value: Join
Hash: E5825F39, Key: LastOnline, Value: Last Online
Hash: F39F7847, Key: MonsterKillsLabel, Value: Monster Kills:
Hash: 077B91F5, Key: NotJoinable, Value: Not Joinable
Hash: 814B1827, Key: OfflineStatus, Value: Offline
Hash: 5B24613B, Key: OnlineStatusAfk, Value: AFK
Hash: 73F2F06A, Key: OnlineStatusAvailable, Value: Available
Hash: 5B246EFF, Key: OnlineStatusDnd, Value: DND
Hash: D341C4E3, Key: OverlayAddFriend, Value: Add Friend
Hash: C6E05619, Key: DefaultInviteMessage, Value: Wants to be your friend.
Hash: 0B174865, Key: OverlayInMenusStatus, Value: Character Select
Hash: 43112ECC, Key: OverlayJoinGame, Value: Join
Hash: 99B51FAA, Key: OverlayNoFriends, Value: You don't have any friends yet. 
Use the button below to add friends.
Hash: 95D56390, Key: OverlayPartyClosedStatus, Value: In a Party ({s1}/{s2})
Hash: C39BA7A8, Key: OverlayPartyOpenStatus, Value: Party ({s1}/{s2}), {s3} |4Open Slot:Open Slots;
Hash: F1CC0863, Key: OverlayPartyPlayingSolo, Value: Playing Solo
Hash: 2B9DF097, Key: OverlayPendingFriendRequestsButtonLabel, Value: Friend Requests 
Hash: 892DECDB, Key: OverlayRecentRequestsButtonLabel, Value: Recent
Hash: FB3FBCC1, Key: PendingRequests, Value: Pending
Hash: 3AC07385, Key: PlayTimeLabel, Value: Playtime: {s1}
Hash: C66C02D1, Key: RealmLabel, Value: Realm:
Hash: 01DC9468, Key: ViewProfileButtonLabel, Value: View Profile
Hash: 6A03485A, Key: WindowTitleLabel, Value: Social
Hash: 42D25156, Key: FriendRequestsTitle, Value: Friend Requests ({s1})
Hash: DE6C5881, Key: PlayingDiabloTitle, Value: Friends Playing Diablo
Hash: 6EA2DCAF, Key: OtherFriendsTitle, Value: Friends
Hash: B29D87CE, Key: RecentFriendsTitle, Value: Recent Players ({s1})
Hash: 68AE33A5, Key: StatusAvailable, Value: Available
Hash: 18BB6276, Key: StatusAway, Value: Away
Hash: 18BBE8A7, Key: StatusBusy, Value: Busy
Hash: E7359D67, Key: StatusOffline, Value: Offline
Hash: 49E57A41, Key: FriendRequest, Value: Friend Request
Hash: 6BB1C299, Key: AcceptRequest, Value: Accept
Hash: CDDCB41D, Key: DeclineRequest, Value: Decline
Hash: C7DB15C3, Key: HideRequest, Value: Not Now
Hash: 003810E0, Key: Chat, Value: Chat
Hash: 6A5AE768, Key: FriendStatusInfo, Value: Playing: {s1}
Hash: D8DB9C14, Key: ChatLobbyButtonLabel, Value: Chat Lobby
Hash: 7BC4D552, Key: HeroLevelInfo, Value: Level {s1} {s2}
Hash: 40681D4A, Key: PendingNumberButton, Value: {s1}
Hash: 37DEFA9E, Key: DummyRequestNumber, Value: 0
Hash: 1C6DAF52, Key: CallToArmsLabel, Value: Open to Friends
Hash: B581CDDC, Key: OverlayPartyFullNoGame, Value: In a Party ({s1}/{s2}) Party is Full
Hash: 5AD996BF, Key: OverlayPartyClosedFull, Value: In a Party ({s1}/{s2}) Game is Full
Hash: 018FF4D7, Key: OverlayPartyOpenFull, Value: Party ({s1}/{s2}) Game is Full
Hash: BC045EE5, Key: CallToArmsFullLabel, Value: Game is Full
Hash: 40ACE741, Key: LastPlayedHero, Value: Last Played: {s1} {s2}
Hash: E2B62FA1, Key: DialogAddRidFriendMessageCharacterLimit, Value: Your message cannot be more than {s1} characters long.
Hash: C4845E43, Key: NoContextAvailable, Value: No context available.
Hash: CB48F9D8, Key: SocialNamePlate_FriendsList, Value: Friends
Hash: 63CBAFDB, Key: SocialNamePlate_RecentPlayerList, Value: Recent Players
Hash: B09BE2AC, Key: StatusPartyMember, Value: {s1} has set their status to {s2}.
Hash: 54A7FC6E, Key: ChatSelfStatus, Value: You are now {s1}: {s2}
Hash: 052D834B, Key: ChatTargetStatus, Value: {s1} is currently {s2}.
Hash: 8F8F9ABC, Key: OfflinePlayerInfo, Value: Offline for {s1}
Hash: F36321E8, Key: DetailsDisplayInfo, Value: {s1} - {s2} {s3}
Hash: 6E7D044F, Key: QuotedFriendMessage, Value: "{s1}"
Hash: BFCD76EF, Key: FriendTooltipInfo, Value: {s1}{s2} - {s3}
Hash: BFCCC50C, Key: FriendTooltipHelp, Value: {icon:rmb} for player options.
Hash: 0C35080A, Key: NoFriendsTitle, Value: You Have No Friends
Hash: 4630168D, Key: NoFriendsText, Value: Use the button below to add new friends.
Hash: 78B9AEDE, Key: NoRecentPlayers, Value: No Recent Players
Hash: D504AECF, Key: ChatSelfStatusAvailable, Value: You are no longer {s1}.
Hash: C5E2545E, Key: MyBattleTag, Value: Your BattleTag: {c:FFfa300}{s1}{s2}{/c}
Hash: D5B1BCD0, Key: FriendHardcoreStatusInfo, Value: Level {s1} Hardcore {s2} - {s3}
Hash: 69939250, Key: DetailsHardcoreDisplayInfo, Value: {s1} - {s2} Hardcore {s3}
Hash: 3DCE9A62, Key: OverlayPartyInPublicGame, Value: In a Public Game
Hash: 106B62BA, Key: HeroLevelInfoHardCore, Value: Level {s1} Hardcore {s2}
Hash: 11909CB2, Key: ExitToMenu, Value: Exit To Menu
Hash: F00EEF06, Key: FriendInGameInviteButtonDialogTitle, Value: Join Player
Hash: 6C2FF7A8, Key: FriendInGameInviteButtonDialogDescription, Value: The player you are inviting is already in a game. Would you like to join them?
Hash: BEE3E290, Key: FriendInGameInviteButtonDialogJoinButton, Value: Yes
Hash: C87CDB28, Key: FriendInGameInviteButtonDialogInviteAnywayButton, Value: No
Hash: 1F8AA3D0, Key: OfflineFriendsTitle, Value: Offline Friends ({s1})
Hash: A9487B84, Key: FriendStatusHardcore, Value: Hardcore
Hash: 8270158B, Key: FriendOfflineStatusInfo, Value: Last Played {s1}
Hash: 1451F55B, Key: Social, Value: Social
Hash: 2BB55190, Key: TrialUpgradeAtAnyTime, Value: upgrade at any time
Hash: CB05D998, Key: TrialUpgradeNow, Value: Upgrade Now!
Hash: 9B49ADE2, Key: SwitchingHeroStatus, Value: Switching Character...
Hash: C44A1DE4, Key: AddFriendBattleTagTooltip, Value: Send a Real ID friend request by entering your friend’s Battle.net email address. Send a BattleTag friend request by entering their BattleTag and unique BattleTag Code in the format BattleTag#1234.
Hash: 60AEDB78, Key: InvalidAddressTooltip, Value: Please enter a valid Battle.net email address or BattleTag and BattleTag Code. Examples: johndoe@domain.com, Blizzman#5151.
Hash: 30B90E9A, Key: FriendInviteRequestDefaultMessage, Value: Add me as a friend.
Hash: FB320B6E, Key: StatusIconAvailable, Value: {icon:Icon_Online,1.5} Available
Hash: 728DF89F, Key: StatusIconAway, Value: {icon:Icon_Away,1.5} Away
Hash: 728E7ED0, Key: StatusIconBusy, Value: {icon:Icon_Busy,1.5} Busy
Hash: 4FFB099C, Key: BattletagStatus, Value: {s1} {s2}: {s3}
