Hash: FFD5AB06, Key: MenuBack, Value: Back
Hash: 20799CAB, Key: SandBoxButton, Value: Sand Box
Hash: 33D6F3BC, Key: NamePlate_HeroLevel, Value: Level
Hash: F200BAF2, Key: QuestSelectMenuResumeGame, Value: ResumeGame
Hash: 029CF3EF, Key: QuestSelectMenuStartGame, Value: Start Game
Hash: 56CA26A6, Key: QuestSelectChangeQuestButton, Value: Change Quest
Hash: B66BAC5B, Key: QuestSelectPageSubTitle, Value: Act I
Hash: B51357D1, Key: QuestSelectPageTitle, Value: Campaign
Hash: C1688394, Key: _ReplacedByData, Value: [PH] Replace Text
Hash: DABE4D06, Key: HeroLevel, Value: Level
Hash: C096D72A, Key: ButtonCloseX, Value: x
Hash: ECA49924, Key: LogonStatus_Title, Value: Log-on Status
Hash: 83303C26, Key: LogonStatus_ConnectGame, Value: Connecting to Diablo IV Game Server...
Hash: 832DB495, Key: LogonStatus_ConnectBnet, Value: Connecting to Battle.net Server...
Hash: EC16E881, Key: LogonStatus_Logon, Value: Authenticating Credentials
Hash: 62B065EC, Key: LogonStatus_HeroList, Value: Retrieving Character List...
Hash: 273AE812, Key: DialogCancelButtonLabel, Value: Cancel
Hash: B6998676, Key: ButtonOk, Value: Ok
Hash: C31508F0, Key: ButtonOkay, Value: Okay
Hash: 9F4E6DB1, Key: HeroDeleteSubmitButton, Value: Delete Character
Hash: BFCEF922, Key: ButtonCancel, Value: Cancel
Hash: F05D5E6D, Key: GeneralSeconds, Value: {s1} |4Second:Seconds;
Hash: 2C9F05E3, Key: GeneralMinutes, Value: {s1} |4Minute:Minutes;
Hash: A877673E, Key: ChatListTitle, Value: Chat
Hash: ADE11AB8, Key: ChatManagerOverflowChatHeader, Value: {s1} Chat |4Window:Windows;
Hash: 0D0A5530, Key: ChatManagerOverflowFriendHeader, Value: {s1} |4Friend:Friends; Online
Hash: 7019337E, Key: ChatListPartyEntry, Value: PARTY
Hash: 245A9E72, Key: MenuLeaveParty, Value: Leave Party
Hash: 499933A0, Key: HeroSelectDialogTitle, Value: Swap Character
Hash: 5FA095C5, Key: FriendsTooltipFooter, Value: {s1} More Friends Online
Hash: 3EDD7934, Key: ConversationChannelLabel, Value: Conversation {s1}
Hash: CA1A6E20, Key: TeamChannelLabel, Value: Team
Hash: EA543233, Key: GameChannelLabel, Value: Game
