Hash: 268BA101, Key: ChallengeRiftHeader, Value: Trials
Hash: 527A36F6, Key: ChallengeRiftProgressHeader, Value: My Progress
Hash: 5B5F5538, Key: HallOfFameHeader, Value: Hall of the Ancients
Hash: 75414B50, Key: MyHallOfFameRecordsHeader, Value: My Hall of the Ancients Records
Hash: 9B489E45, Key: LadderPlacement, Value: {s1} {s2} Ladder
Hash: CC3C6EC9, Key: ConquerRank, Value: Conquer Rank
Hash: CCFEFF21, Key: ChallengeRiftRankValue, Value: {s1}
Hash: E3D767AC, Key: NotYetPlaced, Value: Not placed
Hash: D765DEC8, Key: ChallengeRiftPreHeader, Value: {s1} - Week {s2}
Hash: 064642EC, Key: RiftProgressTitle, Value: Progress
Hash: C461F86F, Key: RiftRewardsTitle, Value: Rewards
Hash: 085932BC, Key: Score, Value: Score
Hash: 7F84C561, Key: Leaderboard Rank, Value: Leaderboard Rank
Hash: 582C5E59, Key: Rank 1 Score, Value: Rank 1 Score
Hash: 89009F59, Key: ScoreValue, Value: {s1}
Hash: EF8BCD17, Key: LeagueRewardsInfo, Value: Earn at the weekly reset with the Seal of the {s1}
Hash: 176B525E, Key: LeaderboardRankValue, Value: -
Hash: C97223B6, Key: Rank1ScoreValue, Value: {s1}
Hash: 086249AE, Key: Start, Value: Start
Hash: 976FD73F, Key: MyProgressSimmaryTitle, Value: Summary
Hash: D04834B5, Key: LadderNameHardcore, Value: Hardcore {s1} Ladder
Hash: A65A5BC7, Key: LadderRankAndScore, Value: Rank {s1}  |  Score {s2}
Hash: 6DF73DF5, Key: ScoreWithValue, Value: Score {s1}
Hash: 26F8DC4D, Key: LadderName, Value: {s1} Ladder
Hash: A1B3AD56, Key: ViewMyProgress, Value: View
Hash: 31E24BCA, Key: LeaderboardsTitle, Value: Leaderboards
Hash: 5DAED76C, Key: LeaderboardsDescription, Value: Browse the Top 1000 Heroes in each Ladder.
Hash: 03A07D71, Key: HallOfFameTitle, Value: Hall of the Ancients
Hash: 22CB6A53, Key: HallOfFameDescription, Value: Browse the Top 10 Heroes from each Trial Ladder in every Season
Hash: 864C97C8, Key: ExplainerLabel, Value: Learn more about Trials
Hash: 6C82639A, Key: NotPlaced, Value: Not placed
Hash: C526C2F5, Key: SoloDivisions, Value: Solo Ladders
Hash: 02BABBC8, Key: PartyDivisions, Value: Party Ladders
Hash: BFBB75F2, Key: PreLaunchPreHeader, Value: {s1} Trials
Hash: E0828644, Key: PreLaunchTitle, Value: Launches Soon
Hash: E5538566, Key: PrelaunchDescription, Value: On {s1} dare to stand against the demons of hell in Trials to earn glory solo or in the party. Set out to destroy as many demons as you can within 10 minutes to rank up.
Hash: 9F3C72B1, Key: ExplainerMainDescription, Value: Trials is a mysterious proving ground of great antiquity. Each week, it tests your strength and skill in search of the greatest heroes of your generation. Compete as a Solo hero or as a Party of up to four heroes. Access Trials from the Horn of Trials or the Collections Tab in the Main Menu.
Hash: 63202B7F, Key: Ladders, Value: Ladders
Hash: 871E917C, Key: Seasons, Value: Seasons
Hash: 6044750B, Key: ExplainerLaddersDescription, Value: Earn glory by climbing Ladders. Compete as a Solo hero or as a Party of up to four heroes.
Hash: A3737BB4, Key: ExplainerLeaderboardsDescription, Value: Earn Seals as you train to compete on the Top 1000 Weekly Leaderboards.
Hash: C3B63DF0, Key: Challenge Rift Divisions, Value: Trials Ranks
Hash: 053DA009, Key: PlacementPreheader, Value: {s1} - Trial {s2} Complete
Hash: 18ED3CDB, Key: PlacementTitle, Value: congratulations {s1} on your placement
