Hash: 086EAA02, Key: Title, Value: Clan
Hash: ADA8F133, Key: CreateAClan, Value: Create Clan
Hash: C14FDD9F, Key: ClanName, Value: Clan Name
Hash: 8F1533EF, Key: JoinClanName, Value: Join <{s2}> {s1}?
Hash: 62D7F8A7, Key: NumberOfClanMembers, Value: {s1}
Hash: BA10CE8B, Key: Members, Value: Members
Hash: 97EBB30B, Key: Leave Clan, Value: Leave Clan
Hash: 049542F4, Key: Decline, Value: Decline
Hash: EA094870, Key: NotificationMuteConfirm, Value: Are you sure you want to mute {s1}? They will no longer be able to transmit to clan voice chat but will still be able to hear clan voice chat.
Hash: 7C188C97, Key: NotificationKickConfirm, Value: Are you sure you want to kick {s1} from the clan? 
Hash: 1669C646, Key: NotificationBanConfirm, Value: Are you sure you want to ban {s1}? This will both remove and prevent them from applying to the clan in the future.

The clan ban list can be managed within the settings screens.
Hash: 2CBFD9BD, Key: JoinClanVoiceChannel, Value: Join Clan Voice Chat
Hash: A2FAD25A, Key: LeaveClanVoiceChannel, Value: Leave Clan Voice Chat
Hash: E5937AC2, Key: ClanDescription, Value: Description
Hash: 98751E77, Key: ClanDescriptionInstructions, Value: Description (200 Character Limit)
Hash: 8A830CB8, Key: DateSent, Value: Date Sent
Hash: C405B04E, Key: InvitedBy, Value:  (Invited by {s1})
Hash: 31577DDE, Key: TagTitle, Value: Tag (6 Character Limit)
Hash: 0001FA5C, Key: Tag, Value: Tag
Hash: 139C0E16, Key: Search, Value: Search Clans
Hash: 2C892732, Key: SearchExistingClans, Value: Search Existing Clans
Hash: 0001AAF9, Key: All, Value: All
Hash: 114A0B04, Key: Region, Value: Region
Hash: 02FFE5F3, Key: Labels, Value: Labels
Hash: 6A7CC59B, Key: Heraldry, Value: Heraldry
Hash: 0040DE5B, Key: Size, Value: Size
Hash: 4AA3FF0A, Key: ClanSearchWarning, Value: You have reached the maximum number of active applications allowed.
Hash: 96FD1264, Key: SizeNumber, Value: {s1}
Hash: 4F3DE02B, Key: ActiveTime, Value: Active Time
Hash: 466F5975, Key: DateSent_Date, Value: {s1}/{s2}/{s3}
Hash: 4C3033F9, Key: ActiveTime_Time, Value: {s1}
Hash: 465FE30F, Key: JoinAClan, Value: Join a Clan
Hash: 9F3C1546, Key: RegionSelectOne, Value: Region (Select 1)
Hash: 008470B7, Key: LabelsSelectUpToFour, Value: Labels (Select up to 4)
Hash: 0153A587, Key: ClanGettingStarted, Value: Getting Started
Hash: FFE698BC, Key: ClanGettingStartedInstructions, Value: Your clan's visibility is set to Public by default which means it will appear in searches.

Clan visibility can be changed under Settings. 
Hash: C67F61B5, Key: ClanGettingStarted_ClanSettings, Value: Adjust Clan Settings
Hash: 2EF59C21, Key: ClanGettingStarted_ClanLanding, Value: Proceed to your Clan
Hash: 073C6D67, Key: Clear, Value: Clear
Hash: 2D9B1790, Key: ApplyFilterRegion, Value: Region
Hash: 8ED3B3E8, Key: SearchResults, Value: Results will show up to {s1} Clans
Hash: C5DA4B04, Key: SearchResultsActive, Value: Results: {s1}
Hash: CA6201A0, Key: ClearFilters, Value: Clear Filters
Hash: 08606564, Key: DefineFilters, Value: Define Filters
Hash: 1CEA7033, Key: ShowResults, Value: Show Results
Hash: 9E62B5CF, Key: LabelErrorText, Value: You have reached the maximum number of labels allowed.
Hash: 1F50F27F, Key: ApplyFilterLabels, Value: Labels
Hash: 0CDD6788, Key: ClanGettingStartedCongrats, Value: Congratulations!
Your Clan has been created.
Hash: A4D33208, Key: ClanGettingStartedOr, Value: Or
Hash: 9BCD3A82, Key: Invites, Value: Invites & Requests ({s1})
Hash: 2188057F, Key: ApplyFilters, Value: Apply Selection
Hash: AEF0204B, Key: FilterByRegionAndLabels, Value: Filter
Hash: 5E04B1EF, Key: ClanSettings, Value: Manage Clan
Hash: C149F1BE, Key: ClanChat, Value: Chat
Hash: DAA74EF9, Key: MessageOfTheDay, Value: Message Of The Day
Hash: FB3FBCC1, Key: PendingRequests, Value: Pending Requests
Hash: 41AA30F4, Key: Clan_Tab_MetaGame, Value: Overview
Hash: 3630BC64, Key: Clan_Tab_Newsfeed, Value: Newsfeed
Hash: C8BA1E72, Key: Clan_Tab_Roster, Value: Roster
Hash: A743C352, Key: ClanInformation_Edited, Value: Last edited by {c_white}{s1}{/c}.
Hash: 898B9E84, Key: PlayerAlreadyInClan, Value: This player is already in a clan.
Hash: 2907AE5C, Key: ClanRecruit, Value: Recruit
Hash: 52B0FB76, Key: ClanMember, Value: Member
Hash: 449F2DBC, Key: ClanOfficer, Value: Officer
Hash: 505546CB, Key: ClanLeader, Value: Leader
Hash: A21FEC01, Key: InviteError_Permission, Value: You do not have permission to send a clan invite.
Hash: 62CEF5B2, Key: InviteError_ExistingInvite, Value: That player already has a pending clan invite.
Hash: 9EE16896, Key: InviteError_General, Value: That player cannot be invited to your clan.
Hash: 003D932C, Key: Misc, Value: Misc.
Hash: 71E5978C, Key: JoinRequests, Value: Join Requests
Hash: 003DFCC1, Key: Name, Value: Name
Hash: 6C5E362F, Key: JoinRequests_Status, Value: Status
Hash: A112C685, Key: Pending, Value: Pending
Hash: 18F256BF, Key: Unread, Value: Unread
Hash: 00403DBC, Key: Read, Value: Read
Hash: 6FA5BF14, Key: Application, Value: Application
Hash: C43D790E, Key: PlayerName, Value: PlayerName
Hash: FCF6B42F, Key: Invite, Value: Invite
Hash: 5A3B07ED, Key: InviteError_PlayerBanned, Value: That player is banned from this clan.
Hash: AC053929, Key: ClanFriends, Value: Friends ({s1}): {s2}
Hash: BB50EED9, Key: InviteError_PlayerBlocked, Value: That player is blocked.
Hash: 84CFB9FC, Key: ClanDisbanded, Value: {s1} was disbanded by {s2}
Hash: 7819A058, Key: SearchResultsNone, Value: No Results Found
Hash: D5CB8FA4, Key: ClanInformation, Value: Info
Hash: 06B36244, Key: JoinAClanInstructions, Value: Players may only be a member of one clan at a time.
Hash: C42B95D0, Key: NotificationLeadTransferConfirm, Value: This will transfer clan leadership to {s1}. 

Are you sure you want to proceed?
Hash: 0486AA62, Key: NotificationMute, Value: You have been muted in clan voice chat.
Hash: 16475B2E, Key: NotificationDethroneConfirm, Value: Are you sure you want to take clan leadership from {s1}? They will be demoted to officer.
Hash: C672BF1D, Key: LeaveClanDialogTitle, Value: Leave the Clan?
Hash: DF300069, Key: LeaveClanDialogBody, Value: If you leave the clan you will no longer have access to the clan and clan chat.
Hash: 1F102829, Key: LeaveClanDialogConfirm, Value: Leave Clan
Hash: DF668D1F, Key: AcceptInvite, Value: Accept
Hash: 5667700C, Key: ClanIntroTitle, Value: Rise against evil together
Hash: D5CE9712, Key: JoinClanDescription, Value: Find a clan amongst the forces of Sanctuary. View clan invites and applications.
Hash: 7F4AA236, Key: CreateClanDescription, Value: Survive and conquer through a clan of your own. 
Hash: C5D758AD, Key: SearchTab, Value: Search
Hash: 58D45D68, Key: InvitesAndRequestsTab, Value: Invites & Requests ({s1})
Hash: D3E78213, Key: RequestsTab, Value: Requests
Hash: 6DD0359C, Key: RequestToJoin, Value: Request to Join
Hash: 9172043A, Key: ReportClan, Value: Report Clan
Hash: F7F1732B, Key: ClanLeaderLabel, Value: Clan Leader
Hash: 6EA395A5, Key: SearchTipTitle, Value: Choose search criteria
Hash: 6E8D9044, Key: SearchTipsBody, Value: Note: Players may only be in one Clan at a time. Players may only have 5 active "Pending Join Requests". 
Hash: AEE989D9, Key: NoResultsFoundBody, Value: Try another search or use different filters
Hash: BA024BA2, Key: NoCurrentInvites, Value: No current Clan invites
Hash: 1FB771BE, Key: NoInvitesOrRequestsTitle, Value: No current invites or requests to join a clan
