Hash: FB3FFC35, Key: MenuLabel, Value: "I came as soon as I could."
Hash: 5D8555C1, Key: Line1.FEF63, Value: (grunt) I knew...you would... (gasp)
Hash: CC8EBBEE, Key: VoiceDir1.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: F779CF43, Key: Line3.FEF63, Value: Don't have...much time. You need to...perform...blood rites. (gasp) Exorcise...demon...
Hash: 66833570, Key: VoiceDir3.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: DE688586, Key: Line6.FEF63, Value: Ugh...I cannot...you need...my prayer book. But...chalice is lost...
Hash: 4D71EBB3, Key: VoiceDir6.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: 785CFF08, Key: Line8.FEF63, Value: Need to...get...new one...
Hash: E7666535, Key: VoiceDir8.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: 729039D2, Key: Line11.FEF63, Value: Margrave. Matvey...he is...chalice keeper...
Hash: C2C6659F, Key: VoiceDir11.FEF63, Value: Pronounciation: Matt-Vehy. Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: 0C84B354, Key: Line13.FEF63, Value: Be wary. He is suspicious...you may need to deceive...
Hash: 5CBADF21, Key: VoiceDir13.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
Hash: A6792CD6, Key: Line15.FEF63, Value: (groan) Please...hurry...
Hash: F6AF58A3, Key: VoiceDir15.FEF63, Value: Extreme exertion. You can barely get the words out as you wrestle with a demon possessing you and trying to take control of your body.
