Hash: 07D39D6C, Key: MaterialValue_Required, Value: / {s2}
Hash: 41A80E79, Key: DungeonKey, Value: Dungeon Key
Hash: DC5C0A9F, Key: Dungeon Tier Legendary, Value: Ancestral
Hash: F94E50E5, Key: Dungeon Tier Magic, Value: Common Sigils
Hash: 64A8078E, Key: Dungeon Tier Rare, Value: Sacred
Hash: C2208C6F, Key: Socketing_Add, Value: Visit a {s1} to add a socket
Hash: 8A349F07, Key: Socketing, Value: Socketing
Hash: 0CF6D8F7, Key: Socket_Empty, Value: Empty Socket
Hash: 073FA750, Key: Craft, Value: Craft
Hash: 085E9545, Key: Smith, Value: Smith
Hash: BA4CE54E, Key: Inventory, Value: Inventory
Hash: 629D04EF, Key: CraftGear, Value: Craft Gear
Hash: 126751C1, Key: ImproveGear, Value: Improve Gear
Hash: F9F9425F, Key: Helmet, Value: Helmet
Hash: F82490B0, Key: Gloves, Value: Gloves
Hash: 073A3E37, Key: Chest, Value: Chest
Hash: 0821CC86, Key: Pants, Value: Pants
Hash: 072C2707, Key: Boots, Value: Boots
Hash: 0848250F, Key: Relic, Value: Relic
Hash: D1BF47B6, Key: Necklace, Value: Necklace
Hash: 084A5EE3, Key: Rings, Value: Rings
Hash: 08624814, Key: Staff, Value: Staff
Hash: 0042EC4A, Key: Wand, Value: Wand
Hash: 0D96B3E3, Key: Off-Hand, Value: Off-Hand
Hash: 08642A4F, Key: Sword, Value: Sword
Hash: 1CF0A9AA, Key: Weapon, Value: Weapon
Hash: 629D067C, Key: CraftGems, Value: Craft Gems
Hash: D4F3CDDA, Key: RemoveGems, Value: Remove Gems
Hash: DA50A1E4, Key: ConfirmRemoval, Value: Confirm Removal
Hash: 00408202, Key: Ruby, Value: Ruby
Hash: 64601DBA, Key: Emerald, Value: Emerald
Hash: 3F84C2CF, Key: Amethyst, Value: Amethyst
Hash: 59CAFA3C, Key: Sapphire, Value: Sapphire
Hash: 8EA00C12, Key: CraftOne, Value: Craft
Hash: 8EA001F6, Key: CraftMax, Value: Craft Max (s1)
Hash: 73DA2E81, Key: ScholarInstructions, Value: Select 3 Runes to Create a New Rune
Hash: FE85E11D, Key: ItemSalvagedNotification, Value: Item Salvaged
Hash: A5CFC10D, Key: CurrentlyHolding, Value: Owned: {s1}
Hash: DC238B83, Key: RequiredMaterials, Value: Material Cost
Hash: A0BA0B6C, Key: CostToCraft, Value: {c_label}Cost To Craft:{/c}
Hash: 0873DC0D, Key: TheCostToCraft, Value: s1 (s2 Max)
Hash: 5EAA4306, Key: OneHanded, Value: One Handed
Hash: F52F537E, Key: TwoHanded, Value: Two Handed
Hash: B9A20836, Key: CraftingMaterialLocation, Value: Located in (s1)
Hash: 61647460, Key: NumberOfMaterials, Value: {c_number}{s1}{/c}{c_number_req}
/{s2}{/c}
