Hash: 1885019C, Key: Major_StormbanesWrath, Value: Stormbane's Wrath
Hash: E575A877, Key: TEST_BONUS1, Value: PH Test Bonus 1
Hash: D243E949, Key: Major_Nightmare Portal, Value: Nightmare Portal
Hash: 9DB3D30E, Key: Proximity Shield, Value: Proximity Shield
Hash: B6311CA7, Key: Major_Volcanic, Value: Volcanic
Hash: 31A6F817, Key: Rampart, Value: Rampart
Hash: 3EC2A5AC, Key: Berserking, Value: (PH)Berserking
Hash: C4739A9D, Key: Frozen Pulse, Value: Frozen Pulse
Hash: E8970902, Key: Blizzard, Value: Blizzard
Hash: 41E20C05, Key: PvP_Dungeon_MonstersBalance, Value: PH PvP: Monsters Balance
Hash: A1DFDECF, Key: PvP_Dungeon_MonstersDropNoLoot, Value: PH PvP: Monsters Drop No Loot
Hash: 2B86E473, Key: Wild Regeneration, Value: Wild Regeneration
Hash: 392DDBC9, Key: Destabilizing, Value: Destabilizing
Hash: 07911DB5, Key: Haste, Value: Haste
Hash: 4A02B956, Key: Resource Drain, Value: Resource Drain
Hash: 81E2157C, Key: Fire Enhanced, Value: Fire Enhanced
Hash: 95425898, Key: Cold Enhanced, Value: Cold Enhanced
Hash: 0DE2D36E, Key: Poison Enhanced, Value: Poison Enhanced
Hash: 8AF3F7B3, Key: Physical Enhanced, Value: Physical Enhanced
Hash: B3B1B7FA, Key: Lightning Enhanced, Value: Lightning Enhanced
Hash: 583647F4, Key: Major_Drifting Shade, Value: Drifting Shade
Hash: 2A5BCF75, Key: Empowered Elites (Summoner), Value: Empowered Elites (Summoner)
Hash: FC27427D, Key: Major_Empowered Elites (Teleporter), Value: Empowered Elites (Teleporter)
Hash: FC5E8510, Key: Major_Empowered Elites (Nightfall), Value: Empowered Elites (Nightfall)
Hash: B8144FEF, Key: Major_Empowered Elites (Poison), Value: Empowered Elites (Poison Enchanted)
Hash: B82C6CE5, Key: Major_Empowered Elites (Frost), Value: Empowered Elites (Cold Enchanted)
Hash: 8E15ED3D, Key: Major_Empowered Elites (Shadow), Value: Empowered Elites (Shadow)
Hash: 7A75D9A5, Key: Major_Empowered Elites (Electric Lance), Value: Empowered Elites (Electric Lance)
Hash: 7058865D, Key: Major_Blood Blister, Value: Blood Blister
Hash: DC8DC966, Key: Empowered Elites (Waller), Value: Empowered Elites (Waller)
Hash: 03511F51, Key: Major_Lightning Storm, Value: Lightning Storm
Hash: 62179F03, Key: Trial_TimedRun, Value: PH Trial: Timed Run
Hash: A260DD0D, Key: Trial_NoWipe, Value: PH Trial: No Wipe
Hash: D606CF62, Key: Trial_DemonicIdol, Value: PH Trial: Demonic Idol
Hash: D8592498, Key: Trial_AbyssalGrowths, Value: PH Trial: Abyssal Growths
Hash: C7B25922, Key: Trial_EventMastery, Value: PH Trial: Event Mastery
Hash: AB2394DD, Key: Trial_ProtectNPC, Value: PH Trial: Cursed Wanderer
Hash: C4C5007F, Key: Trial_UniqueSentries, Value: PH Trial: Unique Sentries
Hash: 878C2A1D, Key: Minor_Monster_AntiCC, Value: Monsters Resist Crowd Control
Hash: 9B3F7329, Key: Minor_Monster_AntiCrit, Value: Monsters Resist Critical Strikes
Hash: 7A77EE55, Key: Minor_Monster_ExtraShadow, Value: Monsters Deal Extra Shadow Damage
Hash: B09E809A, Key: Minor_Monster_LessPoison, Value: Monsters Take Less Poison Damage
Hash: 11F5CE40, Key: Minor_Monster_AntiOverpower, Value: Monsters Resist Overpower Effect
Hash: 20E26967, Key: Minor_Monster_AntiVulnerable, Value: Monsters Resist Vulnerable Effect
Hash: A001ACE8, Key: Minor_Monster_AttackFaster, Value: Monsters Attack Faster
Hash: A79972F2, Key: Minor_Monster_Barrier, Value: Monsters Gain Barrier
Hash: 85172D89, Key: Minor_Monster_ExtraBleeding, Value: Monsters Deal Extra Bleeding Damage
Hash: CC63C264, Key: Minor_Monster_ExtraBurning, Value: Monsters Deal Extra Burning Damage
Hash: 994F3CE4, Key: Minor_Monster_ExtraCorruption, Value: Monsters Deal Extra Corruption Damage
Hash: 24859555, Key: Minor_Monster_ExtraFire, Value: Monsters Deal Extra Fire Damage
Hash: 922BEF73, Key: Minor_Monster_ExtraLightning, Value: Monsters Deal Extra Lightning Damage
Hash: 73FBC2C7, Key: Minor_Monster_ExtraPoison, Value: Monsters Deal Extra Poison Damage
Hash: 97512B0A, Key: Minor_Monster_HPBonus, Value: Monsters Gain Extra Life
Hash: 986D1774, Key: Minor_Monster_HPRegen, Value: Monsters Gain Life Regen
Hash: 7560AC1C, Key: Minor_Monster_LessBleeding, Value: Monsters Take Less Bleeding Damage
