Hash: 912B706D, Key: button1, Value: Bottom action button
Hash: 912B706E, Key: button2, Value: Right action button
Hash: 912B706F, Key: button3, Value: Left action button
Hash: 912B7070, Key: button4, Value: Top action button
Hash: 00000F85, Key: up, Value: Directional pad up
Hash: 0038BDD8, Key: down, Value: Directional pad Down
Hash: 003CF42B, Key: left, Value: Directional pad Left
Hash: 084A413E, Key: right, Value: Directional pad right
Hash: 00000E1D, Key: l1, Value: Left shoulder button
Hash: 00000E1E, Key: l2, Value: Left trigger
Hash: 00000EE3, Key: r1, Value: Right shoulder button
Hash: 00000EE4, Key: r2, Value: Right trigger
Hash: 003766F1, Key: back, Value: Back button
Hash: B7C35329, Key: BUTTON_START, Value: Start button
Hash: 00000E1F, Key: l3, Value: Left analog stick click
Hash: 00000EE5, Key: r3, Value: Right analog stick click
Hash: 867AC9D8, Key: touchpad, Value: Touchpad
Hash: 6E30B32C, Key: options, Value: Options button
Hash: 265CE2C9, Key: Dpad_V_Button, Value: Directional pad up or down
Hash: 3AC33E7B, Key: Dpad_H_Button, Value: Directional pad Left or Right
Hash: 2CA1E71D, Key: r_horiz, Value: Right analog stick left or right
Hash: 5E4F1FEB, Key: r_vertical, Value: Right analog stick up or down
Hash: 5EC47A97, Key: l_horiz, Value: Left analog stick left or right
Hash: 460FB925, Key: l_vertical, Value: Left analog stick up or down
Hash: 07D81964, Key: l_all, Value: Left analog stick
Hash: 0844AC6A, Key: r_all, Value: Right analog stick
Hash: 10DBED69, Key: r_down, Value: Right analog stick down
Hash: 004026D6, Key: r_up, Value: Right analog stick up
Hash: 003CDC90, Key: l_up, Value: Left analog stick up
Hash: 02DCF9A3, Key: l_down, Value: Left analog stick down
Hash: 13D90F1A, Key: KeyPrompt_0, Value: 0
Hash: 13D90F1B, Key: KeyPrompt_1, Value: 1
Hash: 13D90F1C, Key: KeyPrompt_2, Value: 2
Hash: 13D90F1D, Key: KeyPrompt_3, Value: 3
Hash: 13D90F1E, Key: KeyPrompt_4, Value: 4
Hash: 13D90F1F, Key: KeyPrompt_5, Value: 5
Hash: 13D90F20, Key: KeyPrompt_6, Value: 6
Hash: 13D90F21, Key: KeyPrompt_7, Value: 7
Hash: 13D90F22, Key: KeyPrompt_8, Value: 8
Hash: 13D90F23, Key: KeyPrompt_9, Value: 9
Hash: 13D90F4B, Key: KeyPrompt_A, Value: A
Hash: 39A5E40E, Key: KeyPrompt_Plus, Value: Plus sign
Hash: 28EF621A, Key: KeyPrompt_QuoteSingle, Value: Apostrophe
Hash: 13D90F4C, Key: KeyPrompt_B, Value: B
Hash: 13D90F4D, Key: KeyPrompt_C, Value: C
Hash: 0818D4A7, Key: KeyPrompt_Backspace, Value: Backspace
Hash: 63168C16, Key: KeyPrompt_SlashBack, Value: Back slash
Hash: 6D78A9F7, Key: KeyPrompt_Comma, Value: Comma
Hash: 13D90F4E, Key: KeyPrompt_D, Value: D
Hash: 3A2EB30D, Key: KeyPrompt_Period, Value: Period
Hash: 1E2D70DD, Key: KeyPrompt_Delete, Value: Delete key
Hash: 35CFF7FA, Key: KeyPrompt_SlashForward, Value: Forward slash
Hash: 399F5C82, Key: KeyPrompt_Down, Value: Down arrow
Hash: B694532E, Key: KeyPrompt_ScrollWheel, Value: Mouse wheel
Hash: 13D90F4F, Key: KeyPrompt_E, Value: E
Hash: 6E5A2DA1, Key: KeyPrompt_End, Value: End key
Hash: 6D9E1442, Key: KeyPrompt_Equal, Value: Equal sign
Hash: 217AEF9B, Key: KeyPrompt_Escape, Value: Escape key
Hash: 13D90F50, Key: KeyPrompt_F, Value: F
Hash: 8EFAF981, Key: KeyPrompt_F1, Value: F1
Hash: 6E5A29D1, Key: KeyPrompt_F10, Value: F ten
Hash: 6E5A29D2, Key: KeyPrompt_F11, Value: F eleven
