Hash: C143430C, Key: UpgradeGlyph, Value: Upgrade Glyph
Hash: E6D49CF4, Key: UpgradeInfo, Value: You can only spend experience points on one glyph at the time
Hash: 63B074B0, Key: XPGained, Value: Available to Allocate:
Hash: B9E97EB8, Key: AvailableGlyphs, Value: Paragon Glyphs
Hash: 17CC80FC, Key: GlyphLevel, Value: Level {s1}
Hash: DE003923, Key: Current, Value: Current:
Hash: 3B2793A8, Key: Upgrade, Value: Upgrade:
Hash: FF111E2A, Key: UpgradePrompt, Value: Upgrade
Hash: A6D2292D, Key: AllocateXP, Value: Allocate XP
Hash: 2BB9317F, Key: NotEnoughXP, Value: Not enough XP for an upgrade, but you can still allocate it.
Hash: 56015370, Key: GlyphUpgraded, Value: Glyph Upgraded
Hash: 80C87503, Key: ViewParagon, Value: Manage your glyphs on the Paragon screen.
Hash: 9AB5F9F1, Key: XPAllocated, Value: XP Allocated
Hash: C448CE1A, Key: GainMoreXP, Value: Complete more Nightmare Dungeons to level up your glyphs.
Hash: 073C9A36, Key: Close, Value: Close
Hash: 568E103C, Key: XPAmount, Value: {s1} XP
Hash: FF8463F1, Key: ControllerPrompt_UpgradeGlyph, Value: Upgrade Glyph
Hash: 6C1BCCD2, Key: ControllerPrompt_AllocateXP, Value: Allocate XP
Hash: 16F322BB, Key: ControllerPrompt_Close, Value: Close
Hash: 465D9B87, Key: AllocateRemainingXP, Value: Allocate Remaining XP
Hash: 90B1A124, Key: GlyphLevelUpgrade, Value: {c_number}Level {s1}{/c}   {icon:arrow, 1.2}   {c_green}Level {s2}{/c}
Hash: 4A72EA56, Key: AffixDescriptionWithUpgrade, Value: {s1} ({c_green}+{s2}%{/c})
Hash: 06F14CE6, Key: SelectGlyphPrompt, Value: Select a glyph to add XP
Hash: BCA1B062, Key: MaximumLevelReached, Value: Maximum Level Reached:
Hash: EB24FD98, Key: NoMoreXP, Value: You have spent all available Glyph XP.
Hash: 15C9E69A, Key: NoMoreXPTitle, Value: Not Enough XP
Hash: 297C38CF, Key: GlyphCurrentExperience, Value: {c_number}{s1}{/c} {c_number_req}/ {s2} XP{/c} 
Hash: B2965498, Key: LockedGlyphPrompt, Value: Reach Level 50 to gain access to Paragon and Glyph upgrades.
