Hash: 0040F6E8, Key: Sort, Value: Sort
Hash: BAC5FDAC, Key: BulletWithLine, Value: {icon:Tooltip_Bullet_WithLine, 1.5}
Hash: 639C8728, Key: BulletUpgradeLevel, Value: {icon:Crafting_UpgradePip_Unlocked, 1.5} Upgrades: {s1}/{s2}
Hash: 77347F0E, Key: Prompt_Tutorial_Interact, Value: {icon:button4, 2}  Interact
Hash: 644431AA, Key: Prompt_Tutorial_Close, Value: {icon:button2, 2}  Close
Hash: 1B1383BB, Key: Notification_RewardTitleBody, Value: Set your title from your Profile screen
Hash: C09B2133, Key: Notification_RewardAspectGained, Value: Aspect Gained
Hash: E0F61FAE, Key: ValuePercent, Value: {PCT}%
Hash: 00000EBA, Key: OK, Value: Accept
Hash: EE080366, Key: Cancel, Value: Cancel
Hash: 073C9A36, Key: Close, Value: Close
Hash: 003766F1, Key: Back, Value: Back
Hash: 00396EBA, Key: Exit, Value: Exit
Hash: E28825AE, Key: ConversationMore, Value: More
Hash: 95652A3C, Key: DeathMenuCountdown, Value: Waiting To Revive {s1}
Hash: EB9FEDA3, Key: DeathMenuCheckpoint, Value: Revive at Checkpoint
Hash: AB28A963, Key: VideoOptions, Value: Video Options
Hash: 6EBA4755, Key: SoundOptions, Value: Sound Options
Hash: 8A078B1C, Key: GameplayOptions, Value: Gameplay Options
Hash: D2CC9B7D, Key: KeyboardOptions, Value: Keyboard Options
Hash: DB1C965D, Key: ReturnToGame, Value: Return to Game
Hash: 91A07424, Key: MasterVolume, Value: Master Volume
Hash: 564575B8, Key: EffectsVolume, Value: Effects Volume
Hash: BC50A659, Key: MusicVolume, Value: Music Volume
Hash: D7E0B10E, Key: VoiceVolume, Value: Voice Volume
Hash: 9F2314D5, Key: SoundChannels, Value: Sound Channels
Hash: 16906E58, Key: AmbientVolume, Value: Ambient Volume
Hash: E1ED7849, Key: 3DSoundQuality, Value: 3D Sound Quality
Hash: 077EEAC3, Key: Gamma, Value: Gamma
Hash: C700696E, Key: Contrast, Value: Contrast
Hash: 37BD6703, Key: ClutterDensity, Value: Clutter Density
Hash: 6F0A9F0E, Key: ClutterDistance, Value: Clutter Distance
Hash: BFCA5BFA, Key: MainMenu, Value: Main Menu
Hash: E9BED29A, Key: OtherMultiplayer, Value: Other Multiplayer Options
Hash: 891DFA0F, Key: LocalNetworkGame, Value: Local Network Game
Hash: 146A7623, Key: BattleNet, Value: Battle.net
Hash: DB6A5618, Key: BattleNetDisconnectedTitle, Value: Battle.net notice
Hash: A1CCDADB, Key: BattleNetDisconnectedText, Value: You have been disconnected from the Battle.net service.
Hash: 9368F5BD, Key: BattleNetGame, Value: Battle.net Game
Hash: F8B2A81E, Key: BattleNetLoginTitle, Value: Log in to Battle.net
Hash: BB201BDC, Key: BattleNetLoginUsername, Value: Battle.net Account (e-mail)
Hash: D4FE2ACF, Key: BattleNetLoginPassword, Value: Password
Hash: 00E9BC9C, Key: BattleNetLogin, Value: Login
Hash: ACFEFEE4, Key: BattleNetPasswordConfirm, Value: Password confirmation:
Hash: 7273FB51, Key: BattleNetOptionsTitle, Value: Battle.net Options
Hash: E0111E24, Key: BattleNetCreateAccount, Value: Create Account
Hash: 0957F257, Key: BattleNetCreate, Value: Create
Hash: D481E7C5, Key: BattleNetCheckingVersion, Value: Checking Version
Hash: 5F953754, Key: BattleNetPatchRequired, Value: Patch Required
Hash: 0B815413, Key: BattleNetPatchRequiredDesc, Value: A patch must be downloaded before you can connect to Battle.net.
Hash: 1CEE772C, Key: BattleNetVersioningFailed, Value: Versioning Failed
Hash: EDC8A741, Key: BattleNetLoginFailed, Value: Login Failed
Hash: B4D75B4B, Key: BattleNetConnecting, Value: Connecting...
Hash: E8D1B66E, Key: BattleNetCreateAccountError, Value: Create Account Error
Hash: 45A5C86E, Key: BattleNetNoAccountName, Value: A Battle.net account name was not entered.
Hash: 63B24C86, Key: BattleNetNameTooShort, Value: Battle.net account name is not long enough.
Hash: ADAC58C6, Key: BattleNetNameTooLong, Value: Battle.net account name is too long.
Hash: F2E5ABB3, Key: BattleNetNoPassword, Value: A Battle.net password was not entered.
Hash: 007DCD78, Key: BattleNetPasswordTooShort, Value: Battle.net password does not contain enough characters.
Hash: C9B28378, Key: BattleNetPasswordTooLong, Value: Battle.net password contains too many characters.
Hash: 9A2414C0, Key: BattleNetPasswordsDifferent, Value: Password and confirmation are different.
Hash: 1D1D115D, Key: BattleNetCreatingAccount, Value: Creating account...
Hash: 75D8F348, Key: BattleNetAccountCreated, Value: Account Created
Hash: D469EA07, Key: BattleNetAccountCreatedDesc, Value: You can now log in with your new Battle.net account!
Hash: F7A81FE6, Key: BattleNetLoginError, Value: Login Error
Hash: 9DA7F4A1, Key: BattleNetLoggingIn, Value: Logging account in to Battle.net
Hash: 611281CA, Key: BattleNetCreatingGame, Value: Creating Battle.net game
Hash: 02432CFE, Key: BattleNetContactingGameServer, Value: Contacting game server
Hash: E8814D08, Key: BattleNetContactingMatchmakingServer, Value: Contacting matchmaking server
Hash: FC06B602, Key: BattleNetJoinGameErrorNoHero, Value: Could not find hero '{HERO}' for account '{ACCOUNT}'.
Hash: 61131FDE, Key: BattleNetCreatingHero, Value: Creating Battle.net character...
Hash: 3A878E51, Key: BattleNetCreateHeroErrorTitle, Value: Failed to create character.
Hash: CD3E9DCA, Key: BattleNetCreateHeroErrorDuplicate, Value: That character name is already in use.
Hash: B7ABE9F6, Key: BattleNetCreateHeroErrorInvalid, Value: That character name is invalid.
Hash: 1890CD0A, Key: BattleNetErrorStartingService, Value: Could not start the Battle.net service
Hash: D60DE52E, Key: Credits, Value: Credits
Hash: 3F82E740, Key: Cinematics, Value: Cinematics
Hash: F4501251, Key: ExitD3, Value: Quit
Hash: A9D39FF8, Key: CreateNewGame, Value: Create New Game
Hash: 003C0650, Key: Join, Value: Join
Hash: 086249AE, Key: Start, Value: Start
Hash: 073C5EB6, Key: Class, Value: Class
Hash: 07DBBC18, Key: Level, Value: Level
Hash: FF98BD08, Key: Experience, Value: Experience
Hash: 6F302AB7, Key: NextLevel, Value: Next Level
Hash: 003A6186, Key: Gold, Value: Gold
Hash: F05C975F, Key: Damage, Value: Damage
Hash: 8D3E98FD, Key: AttackRating, Value: Attack
Hash: 12B1D1AC, Key: DamageReduction, Value: Damage Reduction
Hash: 02795851, Key: CharacterResistances, Value: Resistances
Hash: 003D707D, Key: Mana, Value: Mana
Hash: 003E3870, Key: None, Value: None
Hash: 1AA26EEE, Key: Vendor, Value: Merchant
Hash: CFC78391, Key: TooltipRatingLabelArmor, Value: Armor
Hash: 0EC40D57, Key: TooltipRatingLabelDPS, Value: Damage Per Second
Hash: 53B9F292, Key: CurrentlyEquippedPlayer, Value: Currently Equipped
Hash: 148DB6ED, Key: LoadCharacter, Value: Load Character
Hash: 39C58794, Key: ScreenResolution, Value: Screen Resolution:
Hash: EC202744, Key: ScreenTextures, Value: Textures Quality:
Hash: 98BA3B59, Key: ScreenShadows, Value: Shadow Quality:
Hash: 74812333, Key: VideoOptionPhysics, Value: Physics Quality:
Hash: 7E8ABA3E, Key: ScreenReflections, Value: Reflection Quality:
Hash: 64831D3B, Key: ScreenFSAA, Value: FSAA:
Hash: F8CC0D43, Key: VideoOptionVSync, Value: Vertical Sync
Hash: 83D11049, Key: VideoOptionLetterbox, Value: Letterbox
Hash: 170527AB, Key: VideoOptionFSAA, Value: Antialiasing
Hash: BD2A2AB4, Key: OptionOff, Value: Off
Hash: BD2A1F2B, Key: OptionLow, Value: Low
Hash: B798E9DA, Key: OptionMedium, Value: Medium
Hash: 626BB7D9, Key: OptionHigh, Value: High
Hash: 335D1225, Key: OptionHighest, Value: Highest
Hash: BAABF616, Key: OptionNotSet, Value: {c_red}--{/c}
Hash: 5A05F40C, Key: DisconnectTitle, Value: Network Disconnect
Hash: E3B28A4F, Key: DisconnectText, Value: The game connection has been lost: your client has been disconnected from the server.
Hash: 313AD0FF, Key: DiedTitleArena, Value: You have died
Waiting to resurrect
Hash: B808F5B8, Key: DiedTitle, Value: You have died!
Hash: 2FDB97ED, Key: SelectCharacter, Value: Select a character to play
Hash: FBC631F9, Key: NewCharacterTitle, Value: Name Your Character
Hash: 7433FEBD, Key: NewCharacterEdit, Value: Default
Hash: 003F42D6, Key: Play, Value: Play
Hash: C9BDF197, Key: NewCharacter, Value: Create New Character
Hash: 3D35B200, Key: DeleteCharacter, Value: Delete
Hash: 11D5C91C, Key: PlayGameOptions, Value: Options
Hash: E63891DE, Key: StartingQuest, Value: Quest:
Hash: 7B5820A8, Key: StartingStep, Value: Step:
Hash: 074AA507, Key: Debug, Value: Debug:
Hash: 6E3945C6, Key: MultiplayerGameDetailsStart, Value: Players: 
Hash: 1A9767C7, Key: MultiplayerGameDetailsItem, Value: {PLAYER} (L{LEVEL} {CLASS})
Hash: A915A358, Key: GameplayTab1, Value: General
