Hash: 78AB02DD, Key: FrozenSuffix004, Value:  Frostburn
Hash: 01D89194, Key: ElectricLanceSuffix001, Value:  Boltrend
Hash: 91F6D8F6, Key: FireEnchantedSuffix001, Value:  Flamefinger
Hash: A67A5B96, Key: ColdEnchantedSuffix005, Value:  Icelust
Hash: A67A5B92, Key: ColdEnchantedSuffix001, Value:  Icefist
Hash: 78AB02DA, Key: FrozenSuffix001, Value:  Frostgrip
Hash: 12E70A36, Key: ShadowEnchantedSuffix001, Value:  Nightrend
Hash: 081AE015, Key: VampiricEnrageSuffix003, Value:  Bloodrazor
Hash: 00FEB1FB, Key: MortarSuffix001, Value:  Firemaw
Hash: 232C274E, Key: SuppressorSuffix003, Value:  Ironshield
Hash: 3D196728, Key: PoisonEnchantedSuffix001, Value:  Rothusk
Hash: 081AE016, Key: VampiricEnrageSuffix004, Value:  Bloodfang
Hash: 184A9D3C, Key: SummonerSuffix001, Value:  Blightcall
Hash: 184A9D3D, Key: SummonerSuffix002, Value:  Doomcaller
Hash: 3D196729, Key: PoisonEnchantedSuffix002, Value:  Pusblister
Hash: 12E70A37, Key: ShadowEnchantedSuffix002, Value:  Shadowtouch
Hash: 081AE013, Key: VampiricEnrageSuffix001, Value:  Gorethief
Hash: 081AE014, Key: VampiricEnrageSuffix002, Value:  Razorpulse
Hash: 0EFBDAB0, Key: MultishotSuffix002, Value:  Deadshot
Hash: 0EFBDAB1, Key: MultishotSuffix003, Value:  Raplikashu
Hash: 78AB02DB, Key: FrozenSuffix002, Value:  Hoarfrost
Hash: 78AB02DC, Key: FrozenSuffix003, Value:  Frostbite
Hash: 00FEB1FC, Key: MortarSuffix002, Value:  Flarebang
Hash: 00FEB1FD, Key: MortarSuffix003, Value:  Flaregut
Hash: 47E870B4, Key: ChaosSuffix001, Value:  Mindbreaker
Hash: 47E870B5, Key: ChaosSuffix002, Value:  Dreadlust
Hash: 47E870B6, Key: ChaosSuffix003, Value:  Dreadtouch
Hash: 025DB322, Key: ChillingWindSuffix001, Value:  Gustraze
Hash: 025DB323, Key: ChillingWindSuffix002, Value:  Bitewind
Hash: 025DB324, Key: ChillingWindSuffix003, Value:  Deathwind
Hash: 01D89195, Key: ElectricLanceSuffix002, Value:  Boltcrawler
Hash: 01D89196, Key: ElectricLanceSuffix003, Value:  Shockweaver
Hash: 91F6D8F7, Key: FireEnchantedSuffix002, Value:  Burntfist
Hash: 91F6D8F8, Key: FireEnchantedSuffix003, Value:  Flamemaw
Hash: 9EE19B42, Key: FireOrbsSuffix001, Value:  Blisterskin
Hash: 9EE19B43, Key: FireOrbsSuffix002, Value:  Infernum
Hash: 9EE19B44, Key: FireOrbsSuffix003, Value:  Infernoblight
Hash: A67A5B95, Key: ColdEnchantedSuffix004, Value:  Shivermaw
Hash: A67A5B93, Key: ColdEnchantedSuffix002, Value:  Iceblade
Hash: A67A5B94, Key: ColdEnchantedSuffix003, Value:  Shiverstriker
Hash: E9B02937, Key: LightningEnchantedSuffix004, Value:  Deathflash
Hash: E9B02938, Key: LightningEnchantedSuffix005, Value:  Skystriker
Hash: E9B02934, Key: LightningEnchantedSuffix001, Value:  Sparktouch
Hash: E9B02935, Key: LightningEnchantedSuffix002, Value:  Sparkfist
Hash: E9B02936, Key: LightningEnchantedSuffix003, Value:  Sparklasher
Hash: 1F93B966, Key: LightningTotemsSuffix001, Value:  Meatcrisper
Hash: 1F93B967, Key: LightningTotemsSuffix002, Value:  Stormkiller
Hash: 1F93B968, Key: LightningTotemsSuffix003, Value:  Stormbender
Hash: 6D111295, Key: PlaguebearerSuffix001, Value:  Bilespew
Hash: 6D111296, Key: PlaguebearerSuffix002, Value:  Wormgut
Hash: 6D111297, Key: PlaguebearerSuffix003, Value:  Goretaint
Hash: 3D19672A, Key: PoisonEnchantedSuffix003, Value:  Sloughskin
Hash: 184A9D3E, Key: SummonerSuffix003, Value:  Doomspawn
Hash: 232C274C, Key: SuppressorSuffix001, Value:  Blockheart
Hash: 232C274D, Key: SuppressorSuffix002, Value:  Peacestopper
Hash: D6DCE6EC, Key: TeleporterSuffix001, Value:  Evershift
Hash: D6DCE6ED, Key: TeleporterSuffix002, Value:  Blinkswift
Hash: D6DCE6EE, Key: TeleporterSuffix003, Value:  Thunderstroke
Hash: 9038F972, Key: TetherSuffix001, Value:  Cagemaster
Hash: 9038F973, Key: TetherSuffix002, Value:  Preymaker
Hash: 9038F974, Key: TetherSuffix003, Value:  Chainbinder
Hash: EC33C98E, Key: VortexSuffix001, Value:  Coldshank
Hash: EC33C98F, Key: VortexSuffix002, Value:  Snowblast
Hash: EC33C990, Key: VortexSuffix003, Value:  Coldclaw
Hash: D5E385AD, Key: WallerSuffix001, Value:  Earthshaker
Hash: D5E385AE, Key: WallerSuffix002, Value:  Gravemaker
Hash: D5E385AF, Key: WallerSuffix003, Value:  Doomtrap
Hash: 025DB325, Key: ChillingWindSuffix004, Value:  Windshifter
Hash: 025DB326, Key: ChillingWindSuffix005, Value:  Windbender
Hash: 025DB327, Key: ChillingWindSuffix006, Value:  Windweaver
Hash: 1F93B96B, Key: LightningTotemsSuffix006, Value:  Stormeye
Hash: D6DCE6EF, Key: TeleporterSuffix004, Value:  Thunderfist
Hash: D6DCE6F0, Key: TeleporterSuffix005, Value:  Thundershifter
Hash: D6DCE6F1, Key: TeleporterSuffix006, Value:  Thunderdancer
Hash: E9B02939, Key: LightningEnchantedSuffix006, Value:  Sparkburn
Hash: E9B0293A, Key: LightningEnchantedSuffix007, Value:  Sparkcall
Hash: E9B0293B, Key: LightningEnchantedSuffix008, Value:  Sparkspawn
Hash: 1F93B969, Key: LightningTotemsSuffix004, Value:  Stormlasher
Hash: D5D31B0E, Key: FallenGenericPrefix001, Value: Colenzo
Hash: D5D31B0F, Key: FallenGenericPrefix002, Value: Syn
Hash: 3D19672B, Key: PoisonEnchantedSuffix004, Value:  Rotthruster
Hash: 081AE017, Key: VampiricEnrageSuffix005, Value:  Bloodpulse
Hash: 3D19672C, Key: PoisonEnchantedSuffix005, Value:  Wretchbane
Hash: EC33C991, Key: VortexSuffix004, Value:  Glacium
Hash: 6D111298, Key: PlaguebearerSuffix004, Value:  Plaguespew
Hash: 081AE018, Key: VampiricEnrageSuffix006, Value:  Doomblood
Hash: 1F93B96A, Key: LightningTotemsSuffix005, Value:  Stormfeast
Hash: 937D70C1, Key: KnightGenericPrefix001, Value: Sir Giles
Hash: 937D70C2, Key: KnightGenericPrefix002, Value: Roulf
Hash: 937D70C3, Key: KnightGenericPrefix003, Value: Sir Roulf
Hash: 937D70C4, Key: KnightGenericPrefix004, Value: Commander Roulf
Hash: 937D70C5, Key: KnightGenericPrefix005, Value: Captain Roulf
Hash: 937D70C6, Key: KnightGenericPrefix006, Value: Lord Roulf
Hash: 937D70C7, Key: KnightGenericPrefix007, Value: Lieutenant Roulf
Hash: 937D70C8, Key: KnightGenericPrefix008, Value: Sir Frederic
Hash: 937D70C9, Key: KnightGenericPrefix009, Value: Sir Jurdi
Hash: 937D70E1, Key: KnightGenericPrefix010, Value: Sir Hughoc
Hash: 937D70E2, Key: KnightGenericPrefix011, Value: Sir Evrat
Hash: 937D70E3, Key: KnightGenericPrefix012, Value: Sir Bertelemi
Hash: 937D70E4, Key: KnightGenericPrefix013, Value: Adinet
Hash: 937D70E5, Key: KnightGenericPrefix014, Value: Evrat
Hash: 937D70E6, Key: KnightGenericPrefix015, Value: Bertelemi
Hash: 937D70E7, Key: KnightGenericPrefix016, Value: Fouques
Hash: 937D70E8, Key: KnightGenericPrefix017, Value: Isemberd
Hash: 937D70E9, Key: KnightGenericPrefix018, Value: Frederic
Hash: 937D70EA, Key: KnightGenericPrefix019, Value: Jurdi
Hash: 937D7102, Key: KnightGenericPrefix020, Value: Gylbard
Hash: 937D7103, Key: KnightGenericPrefix021, Value: Gualtier
Hash: 937D7104, Key: KnightGenericPrefix022, Value: Barnabas
Hash: 937D7105, Key: KnightGenericPrefix023, Value: Odinel
Hash: 937D7106, Key: KnightGenericPrefix024, Value: Bersaba
Hash: 937D7107, Key: KnightGenericPrefix025, Value: Houdouyn
Hash: 937D7108, Key: KnightGenericPrefix026, Value: Yda
Hash: 937D7109, Key: KnightGenericPrefix027, Value: Cedany
Hash: 937D710A, Key: KnightGenericPrefix028, Value: Commander Frederic
Hash: 937D710B, Key: KnightGenericPrefix029, Value: Commander Jurdi
Hash: 937D7123, Key: KnightGenericPrefix030, Value: Commander Adinet
Hash: 937D7124, Key: KnightGenericPrefix031, Value: Commander Evrat
Hash: 937D7125, Key: KnightGenericPrefix032, Value: Commander Bertelemi
Hash: 937D7129, Key: KnightGenericPrefix036, Value: Commander Gylbard
Hash: 937D712A, Key: KnightGenericPrefix037, Value: Captain Frederic
Hash: 937D7126, Key: KnightGenericPrefix033, Value: Commander Fouques
Hash: 937D7127, Key: KnightGenericPrefix034, Value: Commander Hughoc
Hash: 937D7128, Key: KnightGenericPrefix035, Value: Commander Isemberd
Hash: 937D712B, Key: KnightGenericPrefix038, Value: Captain Jurdi
Hash: 937D712C, Key: KnightGenericPrefix039, Value: Captain Adinet
Hash: 937D7144, Key: KnightGenericPrefix040, Value: Captain Evrat
Hash: 937D7145, Key: KnightGenericPrefix041, Value: Captain Bertelemi
Hash: 937D7146, Key: KnightGenericPrefix042, Value: Captain Fouques
Hash: 937D7147, Key: KnightGenericPrefix043, Value: Captain Hughoc
Hash: 937D7148, Key: KnightGenericPrefix044, Value: Captain Isemberd
Hash: 937D7149, Key: KnightGenericPrefix045, Value: Captain Gylbard
Hash: 937D714A, Key: KnightGenericPrefix046, Value: Lord Frederic
Hash: 937D714B, Key: KnightGenericPrefix047, Value: Lord Jurdi
Hash: 937D714C, Key: KnightGenericPrefix048, Value: Lord Adinet
Hash: 937D714D, Key: KnightGenericPrefix049, Value: Lord Evrat
Hash: 937D7165, Key: KnightGenericPrefix050, Value: Lord Bertelemi
Hash: 937D7166, Key: KnightGenericPrefix051, Value: Lord Fouques
Hash: 937D7167, Key: KnightGenericPrefix052, Value: Lord Hughoc
Hash: 937D7168, Key: KnightGenericPrefix053, Value: Lord Isemberd
Hash: 937D7169, Key: KnightGenericPrefix054, Value: Lord Gylbard
Hash: 937D716A, Key: KnightGenericPrefix055, Value: Lord Gualtier
