Hash: EDA80982, Key: StatGold, Value: Gold Collected:
Hash: 1916824C, Key: StatDungeon, Value: Dungeons Cleared:
Hash: BD3B1157, Key: StatMonsters, Value: Monsters Killed:
Hash: AA1C8492, Key: StatPVP, Value: Players Killed:
Hash: EC2ACACB, Key: StatBosses, Value: Bosses Killed:
Hash: 4700A447, Key: ClanHeader, Value: Clan
Hash: C150194E, Key: ClanNone, Value: Not in a clan
Hash: D4A4D850, Key: ProfilePublic, Value: Public
Hash: 62C4704C, Key: ProfilePrivate, Value: Private
Hash: 3644CAA3, Key: ButtonSetPrivate, Value: Set to Private
Hash: C3C7C3C7, Key: ButtonSetPublic, Value: Set to Public
Hash: 80602115, Key: ButtonShowEquipment, Value: Show Equipment
Hash: 448417CE, Key: ButtonHideEquipment, Value: Hide Equipment
Hash: C949A5C3, Key: PVValue, Value: 999,999,999,999
Hash: EC77C9E5, Key: ClanNameMax, Value: WWWWWWWWWWWWWWWWWWWW
Hash: 954D06A2, Key: PrivateProfileWarning, Value: Unable to view a private profile.
Hash: BB413CDE, Key: PlayerProfile, Value: Player Profile
Hash: 086EAA02, Key: Title, Value: Title
Hash: F3850C72, Key: Emblem, Value: Emblem
Hash: 003919A6, Key: Edit, Value: Edit
Hash: C60C0A97, Key: EditProfile, Value: Edit Profile
Hash: CFB2604E, Key: Confirm, Value: Confirm
Hash: 003766F1, Key: Back, Value: Back
Hash: 0D89D20E, Key: Prefix, Value: Prefix
Hash: 62C46E2F, Key: ProfilePrivacy, Value: {c_white}Profile:{/c} {s1}
Hash: 1F9CBDF8, Key: TitleDisplay, Value: Title: {s1}
Hash: 14C021D5, Key: Suffix, Value: Suffix
Hash: A83CA42C, Key: ViewProfile, Value: View Profile
Hash: BF7907B1, Key: Profile, Value: Profile
Hash: 94161372, Key: TitleNone, Value: No Title Selected
Hash: BECCD7E2, Key: Preview, Value: Preview
Hash: 071A9E26, Key: Apply, Value: Apply
Hash: D871F451, Key: SetDefault, Value: Set to default
Hash: 1672DB28, Key: SaveChanges, Value: Save Changes
Hash: 42129295, Key: ButtonPlayerOptions, Value: Options
Hash: F3A0FFB7, Key: LastUpdate, Value: {c_white}Updated:{/c} {s1} ago
Hash: 04C5B725, Key: Default, Value: Class emblem (default)
Hash: EF74F4FB, Key: Custom, Value: Custom
Hash: 073C6D67, Key: Clear, Value: Clear
Hash: 073C9A36, Key: Close, Value: Close
