Hash: 003DFCC1, Key: Name, Value: Light's Guidance
Hash: 0871A46B, Key: Toast, Value: Speak with Reverend Mother Prava at the Cathedral of Light
Hash: 9AC58840, Key: BreadcrumbHeader, Value: Speak with Reverend Mother Prava at the Cathedral of Light
Hash: FBB2C25B, Key: BreadcrumbDescription, Value: I must speak with Reverend Mother Prava and convince her to provide a blessing so I might travel beyond the Black Lake and continue my pursuit of Lilith.
Hash: 0D16AFDC, Key: Phase70Description, Value: I must seek guidance from Reverend Mother Prava at the Cathedral of Light.
Hash: 62E26CA4, Key: Phase70OutsideSubzoneHeader, Value: Travel to the Cathedral of Light
Hash: 9012F763, Key: Callback76Header, Value: Travel to the Cathedral of Light
Hash: C5A4F845, Key: Phase79Description, Value: I seek guidance from Reverend Mother Prava, but I must speak to Iosef in the Cathedral of Light on her whereabouts.
Hash: 3C573B2D, Key: Phase79OutsideSubzoneHeader, Value: Speak with Iosef in the Cathedral of Light
Hash: 2A0770E5, Key: Callback78Header, Value: Speak with Iosef
Hash: 19C2A149, Key: Phase84OutsideSubzoneHeader, Value: Search for Reverend Mother Prava
Hash: 7C54CC44, Key: Callback86Header, Value: Search for Reverend Mother Prava
