Hash: 003DFCC1, Key: Name, Value: Darkness Within
Hash: 0871A46B, Key: Toast, Value: Investigate the tower north of Nevesk
Hash: D53BFF05, Key: Phase0Description, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: 1EADAE68, Key: Callback2Header, Value: Enter Icehowl Ruins
Hash: 5CD6EA0D, Key: Phase8Description, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: 9F90DE2D, Key: Callback7Header, Value: Slay {MONSTER}
Hash: F4A9EC5A, Key: Phase14Description, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: 1F9943DA, Key: Callback13Header, Value: Search the depths of Icehowl Ruins
Hash: 9367FF5C, Key: Phase34Description, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: DF0BA3DF, Key: Callback36Header, Value: Inspect the Decapitated Priest
Hash: FD700C3A, Key: Callback40Header, Value: Enter the Chamber of Calling
Hash: E2C708DD, Key: Phase44Description, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: 9AC58840, Key: BreadcrumbHeader, Value: Enter Icehowl Ruins
Hash: FBB2C25B, Key: BreadcrumbDescription, Value: I've agreed to search the ruins north of Nevesk and slay whatever evil hides there.
Hash: 0D21D9ED, Key: Phase0OutsideSubzoneHeader, Value: Enter Icehowl Ruins
Hash: 9589ADF5, Key: Phase8OutsideSubzoneHeader, Value: Slay the demon
Hash: F70C96E2, Key: Phase14OutsideSubzoneHeader, Value: Search the depths of the Abandoned Tower
Hash: DC652C24, Key: Phase34OutsideSubzoneHeader, Value: Inspect the ritual site
