Hash: 003DFCC1, Key: Name, Value: Wrack & Ruin
Hash: 0871A46B, Key: Toast, Value: Find the town of Yngovani
Hash: 8784047D, Key: Phase17Description, Value: Timue's cryptic instructions mention being tested by "the Swamp" - whatever that means. I need to find the ruins of a town called Yngovani.
Hash: 0687FA1D, Key: Callback16Header, Value: Find the town of Yngovani
Hash: 4408F5DB, Key: Phase24Description, Value: The "Temple" appears to be a cave sealed shut with a large stone door. There is an engraved idol of a massive snake named "Mohlon" on the door. The idol is missing its eyes. If I can find and replace them, perhaps the door will open.
Hash: CF9A89D8, Key: Phase30Description, Value: I've found the ruins of Yngovani. All that's left of this place is a waterlogged husk. The few humans left are worshippers of the snakes infesting the area. I should dig through these ruins for answers.
Hash: 2F5A8F83, Key: Callback85Header, Value: Investigate the engraved stone door
Hash: 8D6916BE, Key: Phase81Description, Value: I've found the ruins of Yngovani. All that's left of this place is a waterlogged husk. The few humans left are worshippers of the snakes infesting the area. I should dig through these ruins for answers.
Hash: 95661601, Key: Callback83Header, Value: Find the temple in Yngovani
Hash: 9AC58840, Key: BreadcrumbHeader, Value: Find the town of Yngovani
Hash: FBB2C25B, Key: BreadcrumbDescription, Value: Timue's cryptic instructions mention being tested by "the Swamp" - whatever that means. I need to find the ruins of a town called Yngovani.
Hash: EA338665, Key: Phase17OutsideSubzoneHeader, Value: Find the town of Yngovani in Blightmarsh
Hash: 69B8E183, Key: Phase24OutsideSubzoneHeader, Value: Find the eyes for the engraved stone at Yngovani
Hash: 98314220, Key: Phase30OutsideSubzoneHeader, Value: Investigate the engraved stone door at Yngovani
Hash: 269BB1C6, Key: Phase81OutsideSubzoneHeader, Value: Search Yngovani in Blightmarsh
Hash: D0A0975E, Key: Callback53Header, Value: Return the Left Eye
Hash: 6A9510E0, Key: Callback55Header, Value: Return the Right Eye
