Hash: ECDD76B9, Key: Amulet001, Value: Magistrate
Hash: ECDD76BA, Key: Amulet002, Value: Authority
Hash: ECDD76BB, Key: Amulet003, Value: Senechal
Hash: ECDD76BC, Key: Amulet004, Value: Baron
Hash: ECDD76BD, Key: Amulet005, Value: Monumental
Hash: ECDD76BE, Key: Amulet006, Value: Supremacy
Hash: ECDD76BF, Key: Amulet007, Value: Honor
Hash: ECDD76C0, Key: Amulet008, Value: Trance
Hash: ECDD76C1, Key: Amulet009, Value: Victory
Hash: ECDD76D9, Key: Amulet010, Value: Herald
Hash: ECDD76DA, Key: Amulet011, Value: Royalty
Hash: ECDD76DB, Key: Amulet012, Value: Ancient
Hash: ECDD76DC, Key: Amulet013, Value: Majesty
Hash: ECDD76DD, Key: Amulet014, Value: Eminence
Hash: ECDD76DE, Key: Amulet015, Value: Renown
Hash: ECDD76DF, Key: Amulet016, Value: Prestige
Hash: ECDD76E0, Key: Amulet017, Value: Mesmerism
Hash: ECDD76E1, Key: Amulet018, Value: Hypnosis
Hash: ECDD76E2, Key: Amulet019, Value: Nobility
Hash: ECDD76FA, Key: Amulet020, Value: Highborn
Hash: ECDD76FB, Key: Amulet021, Value: The
