Hash: FE7CC0FC, Key: AvailablePacts, Value: Pacts:
Hash: 574D5865, Key: PactValue, Value: {c_number}{s2}{/c}{c_number_req}/{s1}{/c}
Hash: 31CCEBF0, Key: Medallion_TotalSeals, Value: Vampiric Powers
Hash: 99364FA8, Key: Medallion_ActiveSeals, Value: Active:
Hash: 07941A3F, Key: Medallion_InactiveSeals, Value: Inactive:
Hash: C31DD890, Key: UpgradeSeal_BTN, Value: Spend: {c_number}{s1}{/c} (of {s2}) {icon:Potent_Blood_Icon, 2.0} 
Hash: C97D4BD7, Key: UpgradeSeal_HeaderTitle, Value: Spend Potent Blood to upgrade or unlock powers.
Hash: 0BE1C114, Key: UpgradeSeal_CurrencyValue, Value: Total {icon:Potent_Blood_Icon, 2.0} {s1}
Hash: BF3C83F9, Key: UpgradeSeal_AllocateXP, Value: Allocate XP
Hash: 9695EFE8, Key: UpgradeSeal_CurrentLevel_Title, Value: Current Level: {c_number}{s1}{/c}
Hash: CBFCB3F0, Key: UpgradeSeal_Description, Value: Choose to apply XP towards unlocking or upgrading a Vampiric Power.
Hash: E78FE95E, Key: UpgradeSeal_PanelTitle, Value: Choose One
Hash: D5A1B538, Key: UpgradeSeal_AvailableXP_Description, Value: Select a Vampiric Power to unlock or upgrade by {c_number}{s1} XP.{/c}
Hash: C9A3BD63, Key: CurrentSeal_XPAmount, Value: {c_number}{s1}{/c} {c_number_req}/ {s2} XP{/c}
Hash: 545DD6A9, Key: UpgradeSeal_SealLevel, Value: {s1}
Hash: 568E103C, Key: XPAmount, Value: {s1}XP
Hash: 7D331962, Key: UpgradeSeal_Warning, Value: You will not be able to cancel or reroll your Vampiric Power choices once you have paid the cost.
Hash: AE5FB7DB, Key: BloodSeal_Tootip_Header, Value: Vampiric Power
Hash: C3512289, Key: BloodSeal_Tooltip_ActivationCost, Value: Activation Cost:
Hash: 6D95DB53, Key: BloodSeal_Tooltip_Instructions, Value: Place into the Sanguine Circle
Hash: CA56DA44, Key: BloodSeal_Tooltip_NotUnlocked, Value: Not Yet Unlocked
Hash: 2E17627E, Key: SinglePactAmount, Value: {s1}
Hash: 62CECA9A, Key: Vamptide_Name, Value: Blood Harvest
Hash: 723847B8, Key: SanguineCircle_Inventory_TabIcon, Value: {icon:VampireCircleTabIcon, 3.3}
Hash: 70FC208A, Key: AlterCircle, Value: Alter Sanguine Circle
Hash: E5BA8438, Key: BloodSeal_Equip, Value: Equip
Hash: 05F3C29B, Key: BloodSeal_Unequip, Value: Unequip
