Hash: C662E678, Key: SKILL_CATEGORY_BLACK_MAGIC, Value: Elemental Ice
Hash: 317EDDE1, Key: SKILL_CATEGORY_FIRE, Value: Fire
Hash: DCC46F7F, Key: SKILL_CATEGORY_LIGHTNING, Value: Lightning
Hash: 6133F181, Key: SKILL_CATEGORY_DEATH, Value: Death
Hash: 6113D20B, Key: SKILL_CATEGORY_BLOOD, Value: Blood
Hash: ABD7833A, Key: SKILL_CATEGORY_SUMMON, Value: Companion
Hash: 6292E401, Key: SKILL_CATEGORY_WRATH, Value: Wrath
Hash: 726C16D2, Key: SKILL_CATEGORY_JUSTICE, Value: Justice
Hash: ECB617C8, Key: SKILL_CATEGORY_SHAPESHIFTING, Value: Shapeshifting
Hash: AC2437DD, Key: SKILL_CATEGORY_ANCIENT, Value: Ancient
Hash: B3C4CF73, Key: SKILL_CATEGORY_WARCRY, Value: Shout
Hash: 063CD680, Key: SKILL_CATEGORY_BERSERKER, Value: Berserker
Hash: 2C639FF6, Key: SKILL_CATEGORY_WARLORD, Value: Warlord
Hash: A4695E53, Key: SKILL_CATEGORY_POISON, Value: Poison
Hash: A818E20C, Key: SKILL_CATEGORY_RANGED, Value: Marksman
Hash: 61D6FAE3, Key: SKILL_CATEGORY_MELEE, Value: Cutthroat
Hash: AAE589E1, Key: SKILL_CATEGORY_SHADOW, Value: Shadow
Hash: E4F6A13D, Key: SKILL_CATEGORY_NATURE_MAGIC_EARTH, Value: Earth Magic
Hash: E5FE567E, Key: SKILL_CATEGORY_NATURE_MAGIC_STORM, Value: Storm Magic
Hash: AB7AEBB6, Key: SKILL_CATEGORY_SPIRIT, Value: Spirit
Hash: 317D517D, Key: SKILL_CATEGORY_COLD, Value: Cold
Hash: 9A2E07AE, Key: SKILL_CATEGORY_DISMOUNT, Value: Dismount
Hash: 31884913, Key: SKILL_CATEGORY_WOLF, Value: Shapeshifting - Werewolf
Hash: 317C9935, Key: SKILL_CATEGORY_BEAR, Value: Shapeshifting - Werebear
Hash: 317CC55F, Key: SKILL_CATEGORY_BONE, Value: Bone
Hash: 3186AF52, Key: SKILL_CATEGORY_TRAP, Value: Trap
Hash: 6EB1B3B8, Key: SKILL_CATEGORY_PHYSICAL, Value: Physical
Hash: 6113A637, Key: SKILL_CATEGORY_BLEED, Value: Bleed
Hash: 612AE73D, Key: SKILL_CATEGORY_CURSE, Value: Curse
Hash: 861B3147, Key: SKILL_CATEGORY_CORPSE, Value: Corpse
