Hash: 560D665D, Key: POWER_CATEGORY_PRIMARY_ACTION_Sor, Value: Minor Destruction
Hash: CB60D1C1, Key: POWER_CATEGORY_SECONDARY_ACTION_Sor, Value: Major Destruction
Hash: E2D4C24B, Key: POWER_CATEGORY_SPECIAL_SKILL_1_Sor, Value: Defensive
Hash: E2E6DACC, Key: POWER_CATEGORY_SPECIAL_SKILL_2_Sor, Value: Conjuration
Hash: E2F8F34D, Key: POWER_CATEGORY_SPECIAL_SKILL_3_Sor, Value: Mastery
Hash: E30B0BCE, Key: POWER_CATEGORY_SPECIAL_SKILL_4_Sor, Value: Ultimate
Hash: 560D26F4, Key: POWER_CATEGORY_PRIMARY_ACTION_Dru, Value: Basic
Hash: 560D1C3E, Key: POWER_CATEGORY_PRIMARY_ACTION_Bar, Value: Basic
Hash: 560D4FBF, Key: POWER_CATEGORY_PRIMARY_ACTION_Nec, Value: Basic
Hash: CB609258, Key: POWER_CATEGORY_SECONDARY_ACTION_Dru, Value: Spirit
Hash: CB6087A2, Key: POWER_CATEGORY_SECONDARY_ACTION_Bar, Value: Fury
Hash: CB60BB23, Key: POWER_CATEGORY_SECONDARY_ACTION_Nec, Value: Essence
Hash: E2D4782C, Key: POWER_CATEGORY_SPECIAL_SKILL_1_Bar, Value: Defensive
Hash: E2D482E2, Key: POWER_CATEGORY_SPECIAL_SKILL_1_Dru, Value: Defensive
Hash: E2D4ABAD, Key: POWER_CATEGORY_SPECIAL_SKILL_1_Nec, Value: Summoning
Hash: E2E690AD, Key: POWER_CATEGORY_SPECIAL_SKILL_2_Bar, Value: Brawling
Hash: E2E69B63, Key: POWER_CATEGORY_SPECIAL_SKILL_2_Dru, Value: Wrath
Hash: E2E6C42E, Key: POWER_CATEGORY_SPECIAL_SKILL_2_Nec, Value: Macabre
Hash: E2F8B3E4, Key: POWER_CATEGORY_SPECIAL_SKILL_3_Dru, Value: Companion
Hash: E2F8A92E, Key: POWER_CATEGORY_SPECIAL_SKILL_3_Bar, Value: Weapon Mastery
Hash: E2F8DCAF, Key: POWER_CATEGORY_SPECIAL_SKILL_3_Nec, Value: Corruption
Hash: E30ACC65, Key: POWER_CATEGORY_SPECIAL_SKILL_4_Dru, Value: Ultimate
Hash: E30AC1AF, Key: POWER_CATEGORY_SPECIAL_SKILL_4_Bar, Value: Ultimate
Hash: E30AF530, Key: POWER_CATEGORY_SPECIAL_SKILL_4_Nec, Value: Ultimate
Hash: E2D4BDFF, Key: POWER_CATEGORY_SPECIAL_SKILL_1_Rog, Value: Subterfuge
Hash: E2E6D680, Key: POWER_CATEGORY_SPECIAL_SKILL_2_Rog, Value: Imbuement
Hash: E2F8EF01, Key: POWER_CATEGORY_SPECIAL_SKILL_3_Rog, Value: Agility
Hash: E30B0782, Key: POWER_CATEGORY_SPECIAL_SKILL_4_Rog, Value: Ultimate
Hash: 560D6211, Key: POWER_CATEGORY_PRIMARY_ACTION_Rog, Value: Basic
Hash: CB60CD75, Key: POWER_CATEGORY_SECONDARY_ACTION_Rog, Value: Combat
Hash: 80AF7DB0, Key: POWER_CATEGORY_DISMOUNT_Bar, Value: Dismount
Hash: 80AF8866, Key: POWER_CATEGORY_DISMOUNT_Dru, Value: Dismount
Hash: 80AFB131, Key: POWER_CATEGORY_DISMOUNT_Nec, Value: Dismount
Hash: 80AFC383, Key: POWER_CATEGORY_DISMOUNT_Rog, Value: Dismount
Hash: 80AFC7CF, Key: POWER_CATEGORY_DISMOUNT_Sor, Value: Dismount
