Hash: 6309331B, Key: SKILL_TAG_ANCIENT, Value: Ancient
Hash: 3FFB2D33, Key: SKILL_TAG_BEAR, Value: Werebear
Hash: 0A4D993E, Key: SKILL_TAG_BERSERKER, Value: Berserking
Hash: 11AF50B6, Key: SKILL_TAG_BLACK_MAGIC, Value: Elemental Ice
Hash: 3F64B9F5, Key: SKILL_TAG_BLEED, Value: Bleed
Hash: 3F64E5C9, Key: SKILL_TAG_BLOOD, Value: Blood
Hash: 3FFB595D, Key: SKILL_TAG_BONE, Value: Bone
Hash: 3FFBE57B, Key: SKILL_TAG_COLD, Value: Frost
Hash: 0853DA4A, Key: PRIMARY_TAG_CORPSE, Value: Corpse
Hash: 74A0FBE0, Key: PRIMARY_TAG_CURSE, Value: Curse
Hash: 3F85053F, Key: SKILL_TAG_DEATH, Value: Death
Hash: 2DB26AAC, Key: SKILL_TAG_DISMOUNT, Value: Dismount
Hash: 3FFD71DF, Key: SKILL_TAG_FIRE, Value: Pyromancy
Hash: 29511210, Key: SKILL_TAG_JUSTICE, Value: Justice
Hash: E0D5323D, Key: SKILL_TAG_LIGHTNING, Value: Shock
Hash: DF675477, Key: SKILL_TAG_CUTTHROAT, Value: Cutthroat
Hash: 7CD959BB, Key: SKILL_TAG_NATURE_MAGIC_EARTH, Value: Earth
Hash: 7DE10EFC, Key: SKILL_TAG_NATURE_MAGIC_STORM, Value: Storm
Hash: 023616B6, Key: SKILL_TAG_PHYSICAL, Value: Physical
Hash: 4CDCE9D1, Key: SKILL_TAG_POISON, Value: Poison
Hash: 11B9B4B3, Key: SKILL_TAG_MARKSMAN, Value: Marksman
Hash: 5359155F, Key: SKILL_TAG_SHADOW, Value: Darkness
Hash: 3CC60986, Key: SKILL_TAG_SHAPESHIFTING, Value: Shapeshifting
Hash: 53EE7734, Key: SKILL_TAG_SPIRIT, Value: Spirit
Hash: 544B0EB8, Key: SKILL_TAG_SUMMON, Value: Companion
Hash: 40054350, Key: SKILL_TAG_TRAP, Value: Trap
Hash: 409655AC, Key: SKILL_TAG_SHOUT, Value: Shout
Hash: E3489B34, Key: SKILL_TAG_WARLORD, Value: Warlord
Hash: 4006DD11, Key: SKILL_TAG_WOLF, Value: Werewolf
Hash: 40E3F7BF, Key: SKILL_TAG_WRATH, Value: Wrath
Hash: 658C2ED1, Key: PRIMARY_TAG_AGILITY, Value: Agility
Hash: F2D55AC9, Key: PRIMARY_TAG_MACABRE, Value: Macabre
Hash: 7483EEC0, Key: PRIMARY_TAG_BASIC, Value: Basic
Hash: 4033B7F4, Key: PRIMARY_TAG_BRAWLING, Value: Brawling
Hash: 81040202, Key: PRIMARY_TAG_COMPANION, Value: Companion
Hash: C951532A, Key: PRIMARY_TAG_CONJURATION, Value: Conjuration
Hash: BD20D8EE, Key: SKILL_TAG_CORRUPTION, Value: Corruption
Hash: 875BB757, Key: PRIMARY_TAG_DEFENSIVE, Value: Defensive
Hash: B6243AC4, Key: PRIMARY_TAG_ESSENCE, Value: Essence
Hash: 68639D44, Key: PRIMARY_TAG_FURY, Value: Fury
Hash: 341A2697, Key: PRIMARY_TAG_IMBUEMENTS, Value: Imbuements
Hash: 6B1543EA, Key: PRIMARY_TAG_MAJOR_DESTRUCTION, Value: Major Destruction
