Hash: AC1415B5, Key: Keyword_Stealth_TagName, Value: Stealth
Hash: 3C93DC3C, Key: Keyword_Stealth_Description, Value: {c_important}{b}{u}Stealthed{/u}{/b}{/c} characters cannot be directly targeted by enemies. Using an attack or taking damage will instantly remove {c_white}{b}{u}Stealth{/u}{/b}{/c}.
Hash: 5DC3C48E, Key: Keyword_Stationary_TagName, Value: Stationary
Hash: 89C14F95, Key: Keyword_Stationary_Description, Value: BUG THIS _ SHOULD NOT KEYWORD STATIONARY
Hash: 45A10D90, Key: Keyword_Vulnerable_TagName, Value: Vulnerable
Hash: 413F4997, Key: Keyword_Vulnerable_Description, Value: {c_important}{b}{u}Vulnerable{/u}{/b}{/c} enemies take 20% increased damage.
Hash: DB59DC26, Key: Keyword_Chill_Frozen_Description, Value: {c_important}{b}{u}Chilled{/u}{/b}{/c} enemies have reduced Movement Speed. Repeatedly {c_important}{b}{u}Chilling{/u}{/b}{/c} an enemy will {c_important}{b}{u}Freeze{/u}{/b}{/c} it, preventing it from moving or attacking.
Hash: 287BEFEC, Key: Keyword_Chill_TagName, Value: Chill
Hash: 013BF9F3, Key: Keyword_Chill_Description, Value: {c_important}{b}{u}Chilled{/u}{/b}{/c} enemies have reduced Movement Speed. Repeatedly {c_important}{b}{u}Chilling{/u}{/b}{/c} an enemy will {c_important}{b}{u}Freeze{/u}{/b}{/c} it.
Hash: D44E80C1, Key: Keyword_Freeze_TagName, Value: Frozen
Hash: 82E4ED48, Key: Keyword_Freeze_Description, Value: {c_important}{b}{u}Frozen{/u}{/b}{/c} enemies cannot move or attack. Enemies can be {c_important}{b}{u}Frozen{/u}{/b}{/c} by repeatedly {c_important}{b}{u}Chilling{/u}{/b}{/c} them.
Hash: 39FD7EF5, Key: Keyword_Spirit_Fragment_Description, Value: BUG THIS - POWERS SHOULD NOT KEYWORD SHADOW REALM
Hash: 5FE0C2B3, Key: Keyword_Execute_TagName, Value: Execute
Hash: 30CAD83A, Key: Keyword_Execute_Description, Value: {c_important}{b}{u}Executes{/u}{/b}{/c} are a chance to instantly kill {c_important}{b}{u}Injured{/u}{/b}{/c} Non-Elites when damaging them.
Hash: 8459B3CE, Key: Keyword_Berserk_TagName, Value: Berserking
Hash: DC3CDED5, Key: Keyword_Berserk_Description, Value: {c_important}{b}{u}Berserking{/u}{/b}{/c} grants [25|%x|] increased damage and [15|%+|] increased Movement Speed. This effect lasts up to 5 seconds.
Hash: 5BB4686D, Key: Keyword_Unstoppable_TagName, Value: Unstoppable
Hash: 950ECAF4, Key: Keyword_Unstoppable_Description, Value: {c_important}{b}{u}Unstoppable{/u}{/b}{/c} characters have all Control Impairing Effects removed and prevented.
Hash: A61B6FAB, Key: Keyword_Immune_TagName, Value: Immune
Hash: 3E034132, Key: Keyword_Immune_Description, Value: {c_important}{b}{u}Immune{/u}{/b}{/c} characters cannot be damaged and are {c_important}{b}{u}Unstoppable{/u}{/b}{/c} with all Control Impairing Effects removed and prevented.
Hash: D6AF3E03, Key: Keyword_Fortify_TagName, Value: Fortify
Hash: 16067B8A, Key: Keyword_Fortify_Description, Value: {c_important}{b}{u}Fortified{/u}{/b}{/c} characters take 15% reduced damage. You become {c_important}{b}{u}Fortified{/u}{/b}{/c} when you have as much {c_important}{b}{u}Fortify{/u}{/b}{/c} as current Life.
Hash: F872DDC9, Key: Keyword_Overpower_TagName, Value: Overpower
Hash: AC808E50, Key: Keyword_Overpower_Description, Value: {c_important}{b}{u}Overpowering{/u}{/b}{/c} deals bonus damage based on the sum of your current Life and {c_important}{b}{u}Fortified{/u}{/b}{/c} Life.
Hash: 5778B2D3, Key: Keyword_Resource_Pickup_TagName, Value: Crackling Energy
Hash: 151DD85A, Key: Keyword_Resource_Pickup_Description, Value: {c_important}{b}{u}Crackling Energy{/u}{/b}{/c} periodically damages surrounding enemies when picked up.
Hash: B28AE212, Key: Keyword_Blood_Orb_TagName, Value: Blood Orb
Hash: 00238F19, Key: Keyword_Blood_Orb_Description, Value: {c_important}{b}{u}Blood Orbs{/u}{/b}{/c} Heal you for 15% of your Maximum Life when picked up.
Hash: C2E238AF, Key: Keyword_Healthy_TagName, Value: Healthy
Hash: 834EEC36, Key: Keyword_Healthy_Description, Value: {c_important}{b}{u}Healthy{/u}{/b}{/c} characters have more than 80% of their Life.
Hash: 76B5FD47, Key: Keyword_Barrier_TagName, Value: Barrier
Hash: CE233CCE, Key: Keyword_Barrier_Description, Value: {c_important}{b}{u}Barriers{/u}{/b}{/c} absorb damage from all sources up to a specified amount.
Hash: 816CEBC4, Key: Keyword_Daze_TagName, Value: Daze
Hash: 1F7721CB, Key: Keyword_Daze_Description, Value: {c_important}{b}{u}Dazed{/u}{/b}{/c} enemies cannot attack or use Skills but are still able to move.
Hash: B0D0076A, Key: Keyword_S02_VampCurse_TagName, Value: Vampiric Curse
Hash: 3CABA071, Key: Keyword_S02_VampCurse_Description, Value: {c_important}{b}{u}Vampiric Cursed{/u}{/b}{/c} enemies grant a soul on death, up to {c_number}8{/c} stacks. Casting a {c_important}Defensive{/c}, {c_important}Macabre{/c}, or {c_important}Agility{/c} Skill unleashes all souls.
Hash: 393DE366, Key: Keyword_Unhindered_TagName, Value: Unhindered
Hash: C05F1A6D, Key: Keyword_Unhindered_Description, Value: {c_important}{b}{u}Unhindered{/u}{/b}{/c} characters can move through enemies and their Movement Speed cannot be reduced.
Hash: 5942E811, Key: Keyword_Injured_TagName, Value: Injured
Hash: AF5C7C98, Key: Keyword_Injured_Description, Value: {c_important}{b}{u}Injured{/u}{/b}{/c} characters have less than 35% of their Life.
Hash: 19B4FFC0, Key: Skill_Fire_TagName, Value: Pyromancy
Hash: 1A4B4F5C, Key: Skill_Cold_TagName, Value: Frost
Hash: B1BA713E, Key: Skill_Lightning_TagName, Value: Shock
Hash: AE553BC0, Key: Skill_Death_TagName, Value: Death
Hash: CB2A064A, Key: Skill_Blood_TagName, Value: Blood
Hash: 0EBEAE40, Key: Skill_Wrath_TagName, Value: Wrath
Hash: 6979D6D1, Key: Skill_Justice_TagName, Value: Justice
Hash: 7EB0AC07, Key: Skill_Shapeshifting_TagName, Value: Shapeshifting
Hash: E71BD2DC, Key: Skill_Ancient_TagName, Value: Ancient
Hash: ACB2A92D, Key: Skill_Shout_TagName, Value: Shout
Hash: 5926493F, Key: Skill_Berserker_TagName, Value: Berserking
Hash: 246A43F5, Key: Skill_Warlord_TagName, Value: Warlord
Hash: CC522617, Key: Skill_Physical_TagName, Value: Physical
Hash: 6D214676, Key: Skill_Bleed_TagName, Value: Bleed
Hash: 923DEEF2, Key: Skill_Poison_TagName, Value: Poison
Hash: 1F1E7114, Key: Skill_Marksman_TagName, Value: Marksman
Hash: 0D802D78, Key: Skill_Cutthroat_TagName, Value: Cutthroat
Hash: D8BBC880, Key: Skill_Shadow_TagName, Value: Darkness
Hash: E84F185C, Key: Skill_Nature_Magic_Earth_TagName, Value: Earth
Hash: 8FD47E9D, Key: Skill_Nature_Magic_Storm_TagName, Value: Storm
Hash: B0AC2F55, Key: Skill_Spirit_TagName, Value: Spirit
Hash: FC06100D, Key: Skill_Dismount_TagName, Value: Dismount
Hash: 2A211270, Key: Skill_Grenade_TagName, Value: Grenade
Hash: 425AE5A0, Key: Skill_Imbueable_TagName, Value: Imbueable
Hash: 33EBB231, Key: Skill_Trap_TagName, Value: Trap
Hash: 65E9853E, Key: Skill_Bone_TagName, Value: Bone
Hash: E612CF14, Key: Skill_Bear_TagName, Value: Werebear
Hash: D6477CF2, Key: Skill_Wolf_TagName, Value: Werewolf
Hash: 7667E58F, Key: Skill_Corruption_TagName, Value: Corruption
Hash: 90958CB7, Key: Skill_Primary_Basic_RootNodeTooltip, Value: {c_important}Basic{/c} Skills deal damage and are always available to cast
Hash: E12E1A3F, Key: Skill_Primary_Basic_TagName, Value: Basic
Hash: B93AFA1E, Key: Skill_Primary_Core_RootNodeTooltip, Value: {c_important}Core{/c} Skills spend Resource to deliver powerful attacks
Hash: EA2C10A6, Key: Skill_Primary_Core_TagName, Value: Core
Hash: 578A88A1, Key: Skill_Primary_Corpse_RootNodeTooltip, Value: {c_important}Corpse{/c} & {c_important}Macabre{/c} Skills control the battle and manipulate the deceased
Hash: 5042CC29, Key: Skill_Primary_Corpse_TagName, Value: Corpse
Hash: 9668D9D7, Key: Skill_Primary_Curse_RootNodeTooltip, Value: {c_important}Curse{/c} Skills afflict debilitating effects upon your foes
Hash: 8F96475F, Key: Skill_Primary_Curse_TagName, Value: Curse
