Hash: 9A21C914, Key: SkillsTitle, Value: Skills
Hash: FBF8D04A, Key: ChooseNewSkill, Value: Choose New Skill
Hash: CCBE6FC6, Key: LockedIconTooltip, Value: New Skill available at Level {s1}.
Hash: 140399EE, Key: ActiveSkills, Value: Skills
Hash: 1F58854D, Key: PassiveSkills, Value: Passive Skills
Hash: A4DA98CE, Key: NoSkillsInTown, Value: You cannot change your Skills while in combat.
Hash: 081B5D1A, Key: CanOverkill, Value: Can {c_green}overkill{/c} enemies.
Hash: 3EB3147B, Key: ActiveSkillLabel, Value: Active
Hash: 52176927, Key: SkillsOptionsSelected, Value: Selected
Hash: 7953476C, Key: RankLabel, Value: Rank {c_white}{s1}{/c}/{s2}
Hash: E690EDD3, Key: RankLabelBonus, Value: Rank {c_magic}{s1}{/c}/{s2}
Hash: EC3DF762, Key: TomeUse, Value: Use Tome
Hash: 1ABC326C, Key: TomeUse_Tooltip, Value: Use Tome ({s1})
Hash: 4B2B9534, Key: SlotLocked, Value: Skill Slot Locked. 
Unlock by {c_highlight}earning {s1} total Skill Points{/c}.
Hash: BF958392, Key: TomeUse_Notification_SkillInfo, Value: +{s1} to {s2} Rank {s3}
Hash: 714A089C, Key: TomeUse_Notification_Progress, Value: ({s1}/{s2})
Hash: 2E6D9547, Key: TomeUse_Notification_Label, Value: Skill Unlock
Hash: BF9A3CB2, Key: TomeUse_Notification_SkillRank, Value: {s1} Rank {s2}
Hash: 88CC165D, Key: SkillPointsAvailable, Value: Skill Points
Hash: D6A64A1C, Key: SkillPointAllocateStart, Value: Spend Points
Hash: D5A13235, Key: SkillPointAllocationStop, Value: Stop Spending
Hash: 83CB07FC, Key: BindSkill, Value: Assign {c_important}{s1}{/c}
Hash: EEDB4E89, Key: SkillName_Enchanted, Value: {s1} Enchantment
Hash: F1A388C1, Key: SkillTreeOpen, Value: View Skill Tree
Hash: ED721AA3, Key: CoreStat_Damage, Value: {c_yellow}{s1}{/c} damage increase from {s2}
Hash: 12EE8E6B, Key: CoreStat_CD, Value: {c_yellow}{s1}{/c} cooldown reduction from {s2}
Hash: 40EA234C, Key: CoreStat_Resource, Value: {c_yellow}{s1}{/c} resource cost reduction from {s2}
Hash: ACC76693, Key: CoreStat_Strength, Value: Strength
