Hash: 31E06116, Key: ItemTooltipAttributeBullet, Value: {icon:AttributeBullet, .8}
Hash: D3406369, Key: ItemTooltipAttributeLegendary, Value: {icon:legendarystar, 2}
Hash: 5DB22BA5, Key: ItemTooltipAttributeUnique, Value: {icon:uniquestar, 2}
Hash: F6DBC66D, Key: MapZoneBanner_Scosglen, Value: {icon:Region_Icon_Scosglen, 2.0}
Hash: 657B687F, Key: MapZoneBanner_FracPeaks, Value: {icon:Region_Icon_FracturedPeaks, 2.0}
Hash: 0C000762, Key: MapZoneBanner_DrySteppes, Value: {icon:Region_Icon_DrySteppes, 2.0}
Hash: 7689FAC1, Key: MapZoneBanner_Hawezar, Value: {icon:Region_Icon_Hawezar, 2.0}
Hash: D746E510, Key: MapZoneBanner_Kehjistan, Value: {icon:Region_Icon_Kehjistan, 2.0}
Hash: C3C37F58, Key: ItemTooltipAffixReroll, Value: {icon:Affix_Reroll, .8}
Hash: 9FD6ACD8, Key: ItemTooltipSeasonalBullet, Value: {icon:season, 2.0}
Hash: AA1D7694, Key: AcquisitionSourceShop, Value: {icon:Purchased_Icon, 2.0}
Hash: 8A099916, Key: AcquisitionSourceSeasons, Value: {icon:Season_Item_Icon, 2.0}
Hash: 817D6CBD, Key: AcquisitionSourceSalvage, Value: {icon:Marker_Salvage, 2.0}
Hash: 1996D374, Key: TransmogIcon, Value: {icon:transmog, 1.5}
Hash: B949F714, Key: ItemTooltipLiveEventBullet, Value: {icon:live_event_star, .8}
Hash: 3B7536B0, Key: AcquisitionSourcePVP, Value: {icon:Marker_Vendor_PVP_Cosmetics, 2.0}
Hash: E2D84374, Key: AcquisitionSourceGlobalAchievement, Value: {icon:bullet, 2.0}
Hash: 5E0F0919, Key: ItemTooltipAttributeTempering, Value: {icon:Tempering_Basic_Icon, 1.5}
Hash: 6E3A7E0F, Key: ItemTooltipAttributeTemperingAdvanced, Value: {icon:Tempering_Advanced_Icon, 1.5}
Hash: 6D94554D, Key: ItemTooltipAttributeBullet_GreaterAffix, Value: {icon:AttributeBullet_GreaterAffix, 1.5}
Hash: BE6F1D4E, Key: ItemTooltipAttributeTemper_Utility, Value: {icon:TemperAttribute_Utility, 1.5}
Hash: 793E457F, Key: ItemTooltipAttributeTemper_Offensive, Value: {icon:TemperAttribute_Offensive, 1.5}
Hash: 8BA39593, Key: ItemTooltipAttributeTemper_Defensive, Value: {icon:TemperAttribute_Defensive, 1.5}
Hash: 5C742282, Key: ItemTooltipAttributeTemper_Resource, Value: {icon:TemperAttribute_Resource, 1.5}
Hash: 98D80083, Key: ItemTooltipAttributeTemper_Mobility, Value: {icon:TemperAttribute_Mobility, 1.5}
Hash: 34D7BB97, Key: ItemTooltipAttributeTemper_Weapons, Value: {icon:TemperAttribute_Weapon, 1.5}
Hash: 4BD5D47C, Key: ItemTooltipAttributeMythic, Value: {icon:mythicstar, 2}
